ablation_family,ablation_variant,topology,load_scale,method,method_profile,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config,prediction_mae_mean,prediction_rmse_mean,nominal_max_utilization_mean,nominal_max_utilization_std,critical_failure_reopt_max_utilization_mean,critical_failure_fixed_disrupted_fraction_mean,critical_failure_fixed_fairness_mean,random_failure_fixed_disrupted_fraction_mean,random_failure_fixed_fairness_mean,robust_worst_case_utilization_mean
robust,balanced_s3,abilene,1.0,current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.4476716715414672,0.6105427049547374,1.017519964534473,0.010506594063537916,2.464366106054131,0.3182917665519885,0.687623634948411,0.16301561260321207,0.8383651238339143,
robust,balanced_s3,abilene,1.0,robust_current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.4476716715414672,0.6105427049547374,1.0175199641916242,0.010506593748811058,2.6278899255698005,0.3198160340135418,0.6889717757168486,0.16570858775147335,0.8355553906706253,2.7133865717948713
robust,balanced_s3,abilene,1.0,uncertainty_aware_lstm_robust_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.9232094060994059,1.0389692608891208,0.9519206711623932,0.006201597825906962,2.3865875162962964,0.31566307427285684,0.6953739369905257,0.16378997853681912,0.8384778155285889,2.538455105128205
robust,balanced_s3,nsfnet,1.0,current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.4495726941863883,0.5843256358323424,1.1338436930185185,0.03636754565205493,1.5956125400789174,0.25096883825822336,0.7479106698041247,0.17443351873087706,0.8270764440064621,
robust,balanced_s3,nsfnet,1.0,robust_current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.4495726941863883,0.5843256358323424,1.133843692940171,0.03636754575060358,1.5956125400789174,0.23470621158194785,0.7609690814672189,0.16946460085575243,0.8314758412412151,2.1906133153846152
robust,balanced_s3,nsfnet,1.0,uncertainty_aware_lstm_robust_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.9476772616854744,1.0542142335535265,1.0294217012877493,0.030000090671375046,1.4552264242450141,0.23564229924280491,0.7608921370073803,0.1696002067745949,0.8310668671740861,1.9896254666666666
robust,conservative_s4,abilene,1.0,current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,4,2,1,0.35,0.65,0.25,0.4476716715414672,0.6105427049547374,1.017519964534473,0.010506594063537916,2.464366106054131,0.3182917665519885,0.687623634948411,0.16301561260321207,0.8383651238339143,
robust,conservative_s4,abilene,1.0,robust_current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,4,2,1,0.35,0.65,0.25,0.4476716715414672,0.6105427049547374,1.017519964454416,0.01050659380485633,2.523136579928775,0.3298642041641734,0.6746126147171391,0.16687535743835924,0.8354774691445058,2.7133865717948713
robust,conservative_s4,abilene,1.0,uncertainty_aware_lstm_robust_lp,lp_only,8,128,8,2,0.1,160,0.001,4,2,1,0.35,0.65,0.25,0.9232094060994059,1.0389692608891208,0.9519206703931625,0.006201598515328799,2.3600672434900285,0.33102577537026223,0.6737998907987709,0.16766911988281033,0.8351965700278363,2.538455105128205
robust,conservative_s4,nsfnet,1.0,current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,4,2,1,0.35,0.65,0.25,0.4495726941863883,0.5843256358323424,1.1338436930185185,0.03636754565205493,1.5956125400789174,0.25096883825822336,0.7479106698041247,0.17443351873087706,0.8270764440064621,
