method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,topology,seed,load_scale,ablation_family,ablation_variant,experiment_label,method_profile,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config
lstm,0.8965149732152585,1.0071108668220174,0.951010289982906,2.082621696923076,1.243975871880342,0.682557894252841,0.8373757544281711,0.3174421057471591,0.1626242455718288,0.6903949568240482,0.8375424284882886,,,,,,abilene,7,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
transformer,0.8833741256133045,0.9960951995600502,0.990259174591453,2.568521677264957,1.295807373153846,0.6832053635531862,0.8345372826462276,0.3167946364468138,0.1654627173537724,0.6892464428803172,0.8355661442781993,,,,,,abilene,7,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
linear_autoregressive,0.4380717462941258,0.5504125459438775,0.9963636072341882,2.515504344615384,1.320877706222222,0.6828360775516578,0.83496248206198,0.3171639224483422,0.16503751793802,0.6893152330768882,0.8352852997295085,,,,,,abilene,7,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
moving_average,0.8298200069938146,0.9608977968479764,1.0387131353846155,2.6249533515811967,1.381344064034188,0.6830147002144127,0.8358334113569781,0.3169852997855873,0.1641665886430219,0.6893390308773724,0.8359507051428875,,,,,,abilene,7,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
transformer,0.8596293327079201,0.977389431406512,0.947228976731624,1.9115451664102563,1.205328716119658,0.6682345805439863,0.8358202921276902,0.3317654194560137,0.1641797078723099,0.6816668400179035,0.8391924893307221,,,,,,abilene,11,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
lstm,0.8538807688842286,0.9700799517821724,0.952754123805128,2.540677656581197,1.2119552641811966,0.6770492558252836,0.8334105944331383,0.3229507441747163,0.1665894055668616,0.6908871401675238,0.8375548221666431,,,,,,abilene,11,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
linear_autoregressive,0.4487388290776791,0.5721091095790738,0.9933776906358974,2.5414453615384613,1.275010977059829,0.6751568443022278,0.8327638133294015,0.3248431556977721,0.1672361866705984,0.6893584051661119,0.8376656100485621,,,,,,abilene,11,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
moving_average,0.7934479774792418,0.932521435337036,1.0462930038423932,2.593574928461538,1.3591391914102564,0.6737284792446462,0.8343339206747462,0.3262715207553538,0.1656660793252537,0.6885138704120112,0.8376659624913182,,,,,,abilene,11,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
lstm,0.9282514731041456,1.037321319583261,0.9434448755555556,1.9835743366666667,1.2198827261025642,0.6880068982040515,0.8402294272270355,0.3119931017959485,0.1597705727729645,0.6851093104864439,0.8403046823684108,,,,,,abilene,13,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
linear_autoregressive,0.429683433838063,0.5363262124158182,0.9656694614700856,2.0503823603846154,1.260851404094017,0.6883171806681653,0.8400278302507826,0.3116828193318346,0.1599721697492174,0.6836800132322269,0.8396798726116926,,,,,,abilene,13,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
transformer,0.9172718942048111,1.0270339184367503,0.981574657391453,2.05342108551282,1.2671468251581195,0.6883042001008146,0.8394773535596,0.3116957998991854,0.1605226464404,0.6864264737666943,0.839541390777353,,,,,,abilene,13,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
moving_average,0.8628529297565589,0.9846525941214844,1.0242400728034189,2.166080533974359,1.3563440832051283,0.6888329837904019,0.8406545830487793,0.3111670162095981,0.1593454169512207,0.6849550614151098,0.840935312889505,,,,,,abilene,13,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
lstm,0.9077538713720124,1.00904011859863,1.0772688333333336,1.4753871256666666,1.1014765053418802,0.7511123959007772,0.8247895871736062,0.2488876040992228,0.1752104128263938,0.7449021777409738,0.824711608998403,,,,,,nsfnet,7,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
linear_autoregressive,0.4680766785685675,0.5702570888482369,1.1320063499649573,1.5500524362064103,1.2494036464529914,0.750520218148288,0.8251182706453513,0.2494797818517121,0.1748817293546488,0.7464308243067335,0.825605076550311,,,,,,nsfnet,7,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
transformer,0.8882911310482219,0.9905914395250062,1.1617158563184102,1.5851094420769232,1.1828981204188036,0.7511517284973533,0.8250216948198706,0.2488482715026467,0.1749783051801292,0.7463658410699581,0.8252920521432892,,,,,,nsfnet,7,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
moving_average,0.8403582648693608,0.9506094855915296,1.176424518599145,1.6096932142435896,1.27954659282906,0.7507371306256688,0.82541856139138,0.2492628693743312,0.1745814386086199,0.7456389721030002,0.8264899527003742,,,,,,nsfnet,7,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
lstm,0.8781001001304024,0.9834945638241338,1.015659173333333,1.4442193639999998,1.0537741517401709,0.7402325666037368,0.8272746775103493,0.2597674333962633,0.1727253224896506,0.7351234728334938,0.8264877376551929,,,,,,nsfnet,11,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
transformer,0.87626173609118,0.9827726874546726,1.0250805593504273,1.460200775638034,1.0633729098888889,0.7438941428216255,0.8265042062554492,0.2561058571783746,0.1734957937445508,0.7404671138224597,0.8259398510648697,,,,,,nsfnet,11,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
linear_autoregressive,0.4112833602314894,0.5103748530256531,1.0896420848786326,1.538248977727778,1.2177642576068377,0.7425668262970423,0.8271161194042853,0.2574331737029576,0.1728838805957146,0.7381397565697078,0.8273842906974924,,,,,,nsfnet,11,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
moving_average,0.8123257682503191,0.9231121738357858,1.112236822488889,1.5826063840470086,1.23274048732906,0.7437290364105892,0.8277997785560406,0.2562709635894107,0.1722002214439593,0.739642921980695,0.8272526690373423,,,,,,nsfnet,11,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
lstm,0.9175662835230032,1.017885806654253,1.065279691820513,1.5432838557264956,1.133231317905983,0.755462821458143,0.8237994524650929,0.2445371785418569,0.1762005475349071,0.7625552086890244,0.8261653636877442,,,,,,nsfnet,13,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
transformer,0.9078475222808576,1.0086708346598978,1.0896054642735042,1.5819552111965811,1.1618043762478634,0.7552557062051493,0.823890014282695,0.2447442937948508,0.1761099857173049,0.7617226884310752,0.8261364171344415,,,,,,nsfnet,13,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
linear_autoregressive,0.4076165663029421,0.5064338735251572,1.1099499676923077,1.6022180043333334,1.2870697734222225,0.7569576729161607,0.8238924918594809,0.2430423270838392,0.1761075081405191,0.763562980268254,0.8259432769159916,,,,,,nsfnet,13,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
moving_average,0.8497139317022027,0.958158764305153,1.1668503356515214,1.6803767443162394,1.3258811270384616,0.7533952242597395,0.8232594384870049,0.2466047757402606,0.1767405615129952,0.7606554005232039,0.8266169526019312,,,,,,nsfnet,13,1.0,transformer,base,transformer:base,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25
lstm,0.9389480435020896,1.053070074276634,0.8918439018358975,1.9551320805128205,1.1669631796837607,0.6822536895534888,0.8373966597110601,0.3177463104465112,0.1626033402889399,0.6906037742895612,0.8373200127580049,,,,,,abilene,7,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
transformer,0.5287292435459541,0.6319257717091662,0.9073188726700856,2.2479492658547007,1.18857651784359,0.6824217882773301,0.834689857431565,0.3175782117226698,0.1653101425684349,0.6893496808579385,0.8352360569249567,,,,,,abilene,7,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
linear_autoregressive,0.4380717462941258,0.5504125459438775,0.9963636072341882,2.515504344615384,1.320877706222222,0.6828360775516578,0.83496248206198,0.3171639224483422,0.16503751793802,0.6893152330768882,0.8352852997295085,,,,,,abilene,7,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
moving_average,0.9929256624947504,1.1211483893686625,1.0524392271247864,2.726521764700855,1.393498374136752,0.6828923207942204,0.8362428977859866,0.3171076792057796,0.1637571022140133,0.6893096895802195,0.8363919514684437,,,,,,abilene,7,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
lstm,0.8944340598873342,1.0130245624238368,0.8988882719589745,1.814413719615385,1.1438557721538465,0.6682446578750665,0.8356985850471248,0.3317553421249336,0.1643014149528752,0.6815640122405873,0.8393709346471053,,,,,,abilene,11,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
transformer,0.5604911266223035,0.6656349927916196,0.8990369739247863,2.148995186367521,1.146001655119658,0.6724068658668736,0.8358168832013049,0.3275931341331264,0.1641831167986951,0.6865091523190758,0.8395331033641509,,,,,,abilene,11,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
linear_autoregressive,0.4487388290776791,0.5721091095790738,0.9933776906358974,2.5414453615384613,1.275010977059829,0.6751568443022278,0.8327638133294015,0.3248431556977721,0.1672361866705984,0.6893584051661119,0.8376656100485621,,,,,,abilene,11,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
moving_average,0.9434790001453393,1.0816941735208188,1.060547603217094,2.52218682542735,1.370083646,0.6724235118311216,0.8346572024664751,0.3275764881688785,0.1653427975335248,0.6874501034298354,0.8380189364583709,,,,,,abilene,11,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
lstm,0.9702873941491446,1.082859892974691,0.8871091968000001,1.8609714587179484,1.1458623371111112,0.6884688067878162,0.8397627023180642,0.3115311932121839,0.1602372976819359,0.6862395640594465,0.8397198881558606,,,,,,abilene,13,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
transformer,0.5115892527206707,0.6072747588360203,0.9008114252752136,1.8857544839743592,1.1645321167692306,0.6886426334476906,0.8397957842337281,0.3113573665523094,0.1602042157662718,0.685620738025199,0.8393600078249841,,,,,,abilene,13,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
linear_autoregressive,0.429683433838063,0.5363262124158182,0.9656694614700856,2.0503823603846154,1.260851404094017,0.6883171806681653,0.8400278302507826,0.3116828193318346,0.1599721697492174,0.6836800132322269,0.8396798726116926,,,,,,abilene,13,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
moving_average,1.032204235475799,1.1556561772695506,1.0378016713504274,2.1910954765384614,1.3641339720598291,0.6885325862914246,0.8399294243438777,0.3114674137085754,0.1600705756561222,0.6849980076806287,0.8400811633861434,,,,,,abilene,13,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
lstm,0.955824983113679,1.0610420626050543,1.0040051397166667,1.3752266800000004,1.0247874089957263,0.7508815379951764,0.8248637918420971,0.2491184620048236,0.1751362081579029,0.7450409122469499,0.8247861195575263,,,,,,nsfnet,7,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
transformer,0.4631098892976591,0.5541824981829662,1.0387700162270086,1.4334264864102564,1.101200831931624,0.7507693813646598,0.8246400069941189,0.2492306186353401,0.1753599930058811,0.7470559002209446,0.8251044365998068,,,,,,nsfnet,7,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
linear_autoregressive,0.4680766785685675,0.5702570888482369,1.1320063499649573,1.5500524362064103,1.2494036464529914,0.750520218148288,0.8251182706453513,0.2494797818517121,0.1748817293546488,0.7464308243067335,0.825605076550311,,,,,,nsfnet,7,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
moving_average,1.0085282045316104,1.1201177758641878,1.190280098717094,1.6280654615512822,1.259353085931624,0.7509665639937145,0.8252081103454766,0.2490334360062854,0.1747918896545234,0.7458138282849447,0.8259288709941204,,,,,,nsfnet,7,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
lstm,0.926240501559412,1.034145536040905,0.9493799605128204,1.3501478314017097,0.9848676473888888,0.744142315669015,0.826907468855479,0.255857684330985,0.1730925311445209,0.7402294264002024,0.8259299723307246,,,,,,nsfnet,11,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
transformer,0.873715622587373,0.9797566230612856,0.9833034444188034,1.394529674928547,1.0229546380641026,0.7402294262117495,0.8274128143774929,0.2597705737882506,0.1725871856225071,0.73601993946749,0.8266396893575588,,,,,,nsfnet,11,1.0,transformer,tuned_a,transformer:tuned_a,ml_only,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25
