ablation_family,ablation_variant,topology,critical_failure_fixed_disrupted_fraction_mean__current_demand_lp,critical_failure_fixed_disrupted_fraction_mean__robust_current_demand_lp,critical_failure_fixed_disrupted_fraction_mean__uncertainty_aware_lstm_robust_lp,critical_failure_fixed_fairness_mean__current_demand_lp,critical_failure_fixed_fairness_mean__robust_current_demand_lp,critical_failure_fixed_fairness_mean__uncertainty_aware_lstm_robust_lp,critical_failure_reopt_max_utilization_mean__current_demand_lp,critical_failure_reopt_max_utilization_mean__robust_current_demand_lp,critical_failure_reopt_max_utilization_mean__uncertainty_aware_lstm_robust_lp,nominal_max_utilization_mean__current_demand_lp,nominal_max_utilization_mean__robust_current_demand_lp,nominal_max_utilization_mean__uncertainty_aware_lstm_robust_lp,robust_lp_nominal_delta_vs_current,robust_lp_reopt_delta_vs_current,robust_lp_fixed_disruption_delta_vs_current,robust_lp_fairness_delta_vs_current,uncertainty_aware_nominal_delta_vs_current,uncertainty_aware_reopt_delta_vs_current,uncertainty_aware_fixed_disruption_delta_vs_current,uncertainty_aware_fairness_delta_vs_current
robust,balanced_s3,abilene,0.3183,0.3198,0.3157,0.6876,0.689,0.6954,2.4644,2.6279,2.3866,1.0175,1.0175,0.9519,-0.0,0.1635,0.0015,0.0013,-0.0656,-0.0778,-0.0026,0.0078
robust,balanced_s3,nsfnet,0.251,0.2347,0.2356,0.7479,0.761,0.7609,1.5956,1.5956,1.4552,1.1338,1.1338,1.0294,-0.0,0.0,-0.0163,0.0131,-0.1044,-0.1404,-0.0153,0.013
robust,conservative_s4,abilene,0.3183,0.3299,0.331,0.6876,0.6746,0.6738,2.4644,2.5231,2.3601,1.0175,1.0175,0.9519,-0.0,0.0588,0.0116,-0.013,-0.0656,-0.1043,0.0127,-0.0138
robust,conservative_s4,nsfnet,0.251,0.1601,0.1598,0.7479,0.8392,0.8402,1.5956,1.6929,1.5456,1.1338,0.8467,0.7127,-0.2871,0.0973,-0.0909,0.0913,-0.4212,-0.05,-0.0912,0.0922
robust,nominal_s2,abilene,0.3183,0.3198,0.3157,0.6876,0.689,0.6954,2.4644,2.6279,2.3866,1.0175,1.0175,0.9519,-0.0,0.1635,0.0015,0.0013,-0.0656,-0.0778,-0.0026,0.0078
robust,nominal_s2,nsfnet,0.251,0.2347,0.2356,0.7479,0.761,0.7609,1.5956,1.5956,1.4552,1.1338,1.1338,1.0294,-0.0,0.0,-0.0163,0.0131,-0.1044,-0.1404,-0.0153,0.013
uncertainty,mult_0p1,abilene,0.3183,0.3198,0.319,0.6876,0.689,0.6895,2.4644,2.6279,2.1209,1.0175,1.0175,0.9257,-0.0,0.1635,0.0015,0.0013,-0.0919,-0.3434,0.0007,0.0019
uncertainty,mult_0p1,nsfnet,0.251,0.2347,0.2354,0.7479,0.761,0.7612,1.5956,1.5956,1.4163,1.1338,1.1338,1.0018,-0.0,0.0,-0.0163,0.0131,-0.1321,-0.1793,-0.0156,0.0133
uncertainty,mult_0p25,abilene,0.3183,0.3198,0.3157,0.6876,0.689,0.6954,2.4644,2.6279,2.3866,1.0175,1.0175,0.9519,-0.0,0.1635,0.0015,0.0013,-0.0656,-0.0778,-0.0026,0.0078
uncertainty,mult_0p25,nsfnet,0.251,0.2347,0.2356,0.7479,0.761,0.7609,1.5956,1.5956,1.4552,1.1338,1.1338,1.0294,-0.0,0.0,-0.0163,0.0131,-0.1044,-0.1404,-0.0153,0.013
uncertainty,mult_0p4,abilene,0.3183,0.3198,0.319,0.6876,0.689,0.6925,2.4644,2.6279,2.452,1.0175,1.0175,0.9782,-0.0,0.1635,0.0015,0.0013,-0.0393,-0.0124,0.0007,0.0049
uncertainty,mult_0p4,nsfnet,0.251,0.2347,0.2359,0.7479,0.761,0.7606,1.5956,1.5956,1.4941,1.1338,1.1338,1.0571,-0.0,0.0,-0.0163,0.0131,-0.0768,-0.1015,-0.0151,0.0127
uncertainty,mult_0p5,abilene,0.3183,0.3198,0.3192,0.6876,0.689,0.6911,2.4644,2.6279,2.4956,1.0175,1.0175,0.9957,-0.0,0.1635,0.0015,0.0013,-0.0218,0.0312,0.0009,0.0035
uncertainty,mult_0p5,nsfnet,0.251,0.2347,0.236,0.7479,0.761,0.7604,1.5956,1.5956,1.5201,1.1338,1.1338,1.0755,-0.0,0.0,-0.0163,0.0131,-0.0584,-0.0756,-0.015,0.0125
