time_step,topology,topology_source,seed,load_scale,method_profile,experiment_label,ablation_family,ablation_variant,method,solver_status,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config,prediction_mae,prediction_rmse,nominal_max_utilization,nominal_avg_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_served_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,robust_failure_scenarios
22,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,current_demand_lp,Optimal,8,,,,,,,4,2,1,0.35,0.65,0.25,0.45027936085633036,0.5614352208718529,0.9234240795555558,0.6675619537822222,1.3106452244444446,0.0,0.7487160318965226,0.2512839681034775,0.8508475584780129,0.14915244152198717,0.7411725310091343,0.8461538475795083,,,,,,
22,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,robust_current_demand_lp,Infeasible,8,,,,,,,4,2,1,0.35,0.65,0.25,0.45027936085633036,0.5614352208718529,0.0,0.0,1.3409420533333334,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,0.0,0.0,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign | Westnet, Salt Lake City->NCAR, Boulder & NCAR, Boulder->Westnet, Salt Lake City"
22,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,uncertainty_aware_lstm_robust_lp,Infeasible,8,,,,,,,4,2,1,0.35,0.65,0.25,0.38095923016401284,0.4669699906910337,0.0,0.0,1.4339723186666669,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.605587899684906,1.1780002117156982,1.046631792363146,0.0,0.0,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign | Westnet, Salt Lake City->NCAR, Boulder & NCAR, Boulder->Westnet, Salt Lake City"
23,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,current_demand_lp,Optimal,8,,,,,,,4,2,1,0.35,0.65,0.25,0.5316944194047585,0.6417224380600498,1.058256828888889,0.7635014979074074,1.526749442222222,1.5256240204444442,0.7476713327601386,0.2523286672398613,0.8291308134880147,0.1708691865119853,0.7461190337863497,0.8244801641247596,,,,,,
23,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,robust_current_demand_lp,Optimal,8,,,,,,,4,2,1,0.35,0.65,0.25,0.5316944194047585,0.6417224380600498,1.058256828888889,0.7686980955114815,2.066658203333333,1.5256240204444442,0.7918347010259202,0.20816529897407973,0.8149007879011495,0.18509921209885052,0.7946819219867925,0.8138961946562356,,,,1.0582568,2.0666582,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign | SEQSUINET, Rice University, Houston->SURANET, Georgia Tech, Atlanta & SURANET, Georgia Tech, Atlanta->SEQSUINET, Rice University, Houston"
23,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,uncertainty_aware_lstm_robust_lp,Optimal,8,,,,,,,4,2,1,0.35,0.65,0.25,0.8656472480415481,0.9597258663770488,0.9951824400000002,0.7199428336651852,1.939673357777778,1.4339723186666669,0.7920453055368899,0.20795469446311016,0.8185925557986314,0.18140744420136853,0.7927483603180562,0.8169302557821482,0.605587899684906,1.1780002117156982,1.046631792363146,0.99518244,1.9396734,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign | SEQSUINET, Rice University, Houston->SURANET, Georgia Tech, Atlanta & SURANET, Georgia Tech, Atlanta->SEQSUINET, Rice University, Houston"
24,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,current_demand_lp,Optimal,8,,,,,,,4,2,1,0.35,0.65,0.25,0.5433686919352784,0.660777918168168,1.2011511316666668,0.8668750149455555,1.7002677084444449,0.0,0.7452352791168303,0.2547647208831696,0.84509445304377,0.1549055469562301,0.7395594121145215,0.8461538472307637,,,,,,
24,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,robust_current_demand_lp,Infeasible,8,,,,,,,4,2,1,0.35,0.65,0.25,0.5433686919352784,0.660777918168168,0.0,0.0,1.7569797377777778,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,0.0,0.0,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign | Pittsburgh Supercomputer Center->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->Pittsburgh Supercomputer Center"
24,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,uncertainty_aware_lstm_robust_lp,Infeasible,8,,,,,,,4,2,1,0.35,0.65,0.25,1.3799740664924938,1.5105981779306794,0.0,0.0,1.4339723186666669,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.605587899684906,1.1780002117156982,1.046631792363146,0.0,0.0,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign | Pittsburgh Supercomputer Center->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->Pittsburgh Supercomputer Center"
25,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,current_demand_lp,Optimal,8,,,,,,,4,2,1,0.35,0.65,0.25,0.38227137216548523,0.4761928971827651,1.3581111288888887,0.973823752237037,1.9192249994999997,1.77445442,0.7414424147295058,0.25855758527049433,0.8809127035262121,0.11908729647378784,0.7384429869856949,0.8823353198869854,,,,,,
25,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,robust_current_demand_lp,Optimal,8,,,,,,,4,2,1,0.35,0.65,0.25,0.38227137216548523,0.4761928971827651,1.3581111283333336,0.9707540097666668,1.9192249994999997,1.77445442,0.763248395900639,0.23675160409936105,0.8829557511252303,0.11704424887476979,0.7508442618590164,0.8846317932294653,,,,1.3581111,2.6373642,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign | NorthWestNet, Seattle->NCAR, Boulder & NCAR, Boulder->NorthWestNet, Seattle"
25,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,uncertainty_aware_lstm_robust_lp,Optimal,8,,,,,,,4,2,1,0.35,0.65,0.25,1.699715498212518,1.8402707988498883,0.9951824422222223,0.7131350528259259,1.412913325,1.3073399366666665,0.761744332132956,0.23825566786704394,0.8821543402007903,0.11784565979920966,0.7511429665588142,0.8835455485092387,0.605587899684906,1.1780002117156982,1.046631792363146,0.99518244,1.9396734,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign | NorthWestNet, Seattle->NCAR, Boulder & NCAR, Boulder->NorthWestNet, Seattle"
26,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,current_demand_lp,Optimal,8,,,,,,,4,2,1,0.35,0.65,0.25,0.32618462776014867,0.6111993621477622,1.4461198711111112,1.0404983515288888,2.044861422222222,2.8199211311111116,0.7445440295945335,0.2554559704054666,0.7924067531924646,0.20759324680753535,0.7388954402999718,0.7908072079881675,,,,,,
26,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,robust_current_demand_lp,Optimal,8,,,,,,,4,2,1,0.35,0.65,0.25,0.32618462776014867,0.6111993621477622,1.4461198688888888,1.0393248464092593,2.044861422222222,2.8199211311111116,0.769822242320313,0.2301777576796869,0.7924067530489127,0.20759324695108725,0.7611168795429225,0.793991941014357,,,,1.4461199,2.8199211,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign"
26,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,uncertainty_aware_lstm_robust_lp,Optimal,8,,,,,,,4,2,1,0.35,0.65,0.25,1.7800630247328282,1.9765343299597458,0.9951824399999999,0.7147495492251852,1.412913325,1.939673357777778,0.7663898928972602,0.23361010710273983,0.792045305658784,0.20795469434121605,0.7600808841883621,0.7930333526007064,0.605587899684906,1.1780002117156982,1.046631792363146,0.99518244,1.9396734,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign"
27,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,current_demand_lp,Optimal,8,,,,,,,4,2,1,0.35,0.65,0.25,0.4110261813023617,0.7248517658028071,1.4670892341666666,1.0552428087503705,2.098453431666667,2.1332103119999997,0.7399015224307656,0.2600984775692344,0.8322884270902163,0.1677115729097837,0.7396269129106804,0.8275261086430978,,,,,,
27,nsfnet,topozoo/Nsfnet,11,1.0,lp_only,robust:conservative_s4,robust,conservative_s4,robust_current_demand_lp,Optimal,8,,,,,,,4,2,1,0.35,0.65,0.25,0.4110261813023617,0.7248517658028071,1.4670892333333332,1.0633706447962963,2.8360007500000006,2.1332103119999997,0.7927628734767445,0.20723712652325557,0.8169738698442096,0.18302613015579042,0.7933902014011638,0.8159123866344932,,,,1.4670892,2.8360007,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign | SEQSUINET, Rice University, Houston->SURANET, Georgia Tech, Atlanta & SURANET, Georgia Tech, Atlanta->SEQSUINET, Rice University, Houston"
