ablation_family,ablation_variant,topology,seed,load_scale,method_profile,output_subdir,manifest_path
transformer,base,abilene,7,1.0,ml_only,transformer\base_abilene_load1p0_seed7,transformer\base_abilene_load1p0_seed7\experiment_manifest.json
transformer,base,abilene,11,1.0,ml_only,transformer\base_abilene_load1p0_seed11,transformer\base_abilene_load1p0_seed11\experiment_manifest.json
transformer,base,abilene,13,1.0,ml_only,transformer\base_abilene_load1p0_seed13,transformer\base_abilene_load1p0_seed13\experiment_manifest.json
transformer,base,nsfnet,7,1.0,ml_only,transformer\base_nsfnet_load1p0_seed7,transformer\base_nsfnet_load1p0_seed7\experiment_manifest.json
transformer,base,nsfnet,11,1.0,ml_only,transformer\base_nsfnet_load1p0_seed11,transformer\base_nsfnet_load1p0_seed11\experiment_manifest.json
transformer,base,nsfnet,13,1.0,ml_only,transformer\base_nsfnet_load1p0_seed13,transformer\base_nsfnet_load1p0_seed13\experiment_manifest.json
transformer,tuned_a,abilene,7,1.0,ml_only,transformer\tuned_a_abilene_load1p0_seed7,transformer\tuned_a_abilene_load1p0_seed7\experiment_manifest.json
transformer,tuned_a,abilene,11,1.0,ml_only,transformer\tuned_a_abilene_load1p0_seed11,transformer\tuned_a_abilene_load1p0_seed11\experiment_manifest.json
transformer,tuned_a,abilene,13,1.0,ml_only,transformer\tuned_a_abilene_load1p0_seed13,transformer\tuned_a_abilene_load1p0_seed13\experiment_manifest.json
transformer,tuned_a,nsfnet,7,1.0,ml_only,transformer\tuned_a_nsfnet_load1p0_seed7,transformer\tuned_a_nsfnet_load1p0_seed7\experiment_manifest.json
transformer,tuned_a,nsfnet,11,1.0,ml_only,transformer\tuned_a_nsfnet_load1p0_seed11,transformer\tuned_a_nsfnet_load1p0_seed11\experiment_manifest.json
transformer,tuned_a,nsfnet,13,1.0,ml_only,transformer\tuned_a_nsfnet_load1p0_seed13,transformer\tuned_a_nsfnet_load1p0_seed13\experiment_manifest.json
transformer,tuned_b,abilene,7,1.0,ml_only,transformer\tuned_b_abilene_load1p0_seed7,transformer\tuned_b_abilene_load1p0_seed7\experiment_manifest.json
transformer,tuned_b,abilene,11,1.0,ml_only,transformer\tuned_b_abilene_load1p0_seed11,transformer\tuned_b_abilene_load1p0_seed11\experiment_manifest.json
transformer,tuned_b,abilene,13,1.0,ml_only,transformer\tuned_b_abilene_load1p0_seed13,transformer\tuned_b_abilene_load1p0_seed13\experiment_manifest.json
transformer,tuned_b,nsfnet,7,1.0,ml_only,transformer\tuned_b_nsfnet_load1p0_seed7,transformer\tuned_b_nsfnet_load1p0_seed7\experiment_manifest.json
transformer,tuned_b,nsfnet,11,1.0,ml_only,transformer\tuned_b_nsfnet_load1p0_seed11,transformer\tuned_b_nsfnet_load1p0_seed11\experiment_manifest.json
transformer,tuned_b,nsfnet,13,1.0,ml_only,transformer\tuned_b_nsfnet_load1p0_seed13,transformer\tuned_b_nsfnet_load1p0_seed13\experiment_manifest.json
transformer,tuned_c,abilene,7,1.0,ml_only,transformer\tuned_c_abilene_load1p0_seed7,transformer\tuned_c_abilene_load1p0_seed7\experiment_manifest.json
transformer,tuned_c,abilene,11,1.0,ml_only,transformer\tuned_c_abilene_load1p0_seed11,transformer\tuned_c_abilene_load1p0_seed11\experiment_manifest.json
transformer,tuned_c,abilene,13,1.0,ml_only,transformer\tuned_c_abilene_load1p0_seed13,transformer\tuned_c_abilene_load1p0_seed13\experiment_manifest.json
transformer,tuned_c,nsfnet,7,1.0,ml_only,transformer\tuned_c_nsfnet_load1p0_seed7,transformer\tuned_c_nsfnet_load1p0_seed7\experiment_manifest.json
transformer,tuned_c,nsfnet,11,1.0,ml_only,transformer\tuned_c_nsfnet_load1p0_seed11,transformer\tuned_c_nsfnet_load1p0_seed11\experiment_manifest.json
transformer,tuned_c,nsfnet,13,1.0,ml_only,transformer\tuned_c_nsfnet_load1p0_seed13,transformer\tuned_c_nsfnet_load1p0_seed13\experiment_manifest.json
uncertainty,mult_0p1,abilene,7,1.0,lp_only,uncertainty\mult_0p1_abilene_load1p0_seed7,uncertainty\mult_0p1_abilene_load1p0_seed7\experiment_manifest.json
uncertainty,mult_0p1,abilene,11,1.0,lp_only,uncertainty\mult_0p1_abilene_load1p0_seed11,uncertainty\mult_0p1_abilene_load1p0_seed11\experiment_manifest.json
uncertainty,mult_0p1,abilene,13,1.0,lp_only,uncertainty\mult_0p1_abilene_load1p0_seed13,uncertainty\mult_0p1_abilene_load1p0_seed13\experiment_manifest.json
uncertainty,mult_0p1,nsfnet,7,1.0,lp_only,uncertainty\mult_0p1_nsfnet_load1p0_seed7,uncertainty\mult_0p1_nsfnet_load1p0_seed7\experiment_manifest.json
uncertainty,mult_0p1,nsfnet,11,1.0,lp_only,uncertainty\mult_0p1_nsfnet_load1p0_seed11,uncertainty\mult_0p1_nsfnet_load1p0_seed11\experiment_manifest.json
uncertainty,mult_0p1,nsfnet,13,1.0,lp_only,uncertainty\mult_0p1_nsfnet_load1p0_seed13,uncertainty\mult_0p1_nsfnet_load1p0_seed13\experiment_manifest.json
uncertainty,mult_0p25,abilene,7,1.0,lp_only,uncertainty\mult_0p25_abilene_load1p0_seed7,uncertainty\mult_0p25_abilene_load1p0_seed7\experiment_manifest.json
uncertainty,mult_0p25,abilene,11,1.0,lp_only,uncertainty\mult_0p25_abilene_load1p0_seed11,uncertainty\mult_0p25_abilene_load1p0_seed11\experiment_manifest.json
uncertainty,mult_0p25,abilene,13,1.0,lp_only,uncertainty\mult_0p25_abilene_load1p0_seed13,uncertainty\mult_0p25_abilene_load1p0_seed13\experiment_manifest.json
uncertainty,mult_0p25,nsfnet,7,1.0,lp_only,uncertainty\mult_0p25_nsfnet_load1p0_seed7,uncertainty\mult_0p25_nsfnet_load1p0_seed7\experiment_manifest.json
uncertainty,mult_0p25,nsfnet,11,1.0,lp_only,uncertainty\mult_0p25_nsfnet_load1p0_seed11,uncertainty\mult_0p25_nsfnet_load1p0_seed11\experiment_manifest.json
uncertainty,mult_0p25,nsfnet,13,1.0,lp_only,uncertainty\mult_0p25_nsfnet_load1p0_seed13,uncertainty\mult_0p25_nsfnet_load1p0_seed13\experiment_manifest.json
uncertainty,mult_0p4,abilene,7,1.0,lp_only,uncertainty\mult_0p4_abilene_load1p0_seed7,uncertainty\mult_0p4_abilene_load1p0_seed7\experiment_manifest.json
uncertainty,mult_0p4,abilene,11,1.0,lp_only,uncertainty\mult_0p4_abilene_load1p0_seed11,uncertainty\mult_0p4_abilene_load1p0_seed11\experiment_manifest.json
uncertainty,mult_0p4,abilene,13,1.0,lp_only,uncertainty\mult_0p4_abilene_load1p0_seed13,uncertainty\mult_0p4_abilene_load1p0_seed13\experiment_manifest.json
uncertainty,mult_0p4,nsfnet,7,1.0,lp_only,uncertainty\mult_0p4_nsfnet_load1p0_seed7,uncertainty\mult_0p4_nsfnet_load1p0_seed7\experiment_manifest.json
uncertainty,mult_0p4,nsfnet,11,1.0,lp_only,uncertainty\mult_0p4_nsfnet_load1p0_seed11,uncertainty\mult_0p4_nsfnet_load1p0_seed11\experiment_manifest.json
uncertainty,mult_0p4,nsfnet,13,1.0,lp_only,uncertainty\mult_0p4_nsfnet_load1p0_seed13,uncertainty\mult_0p4_nsfnet_load1p0_seed13\experiment_manifest.json
uncertainty,mult_0p5,abilene,7,1.0,lp_only,uncertainty\mult_0p5_abilene_load1p0_seed7,uncertainty\mult_0p5_abilene_load1p0_seed7\experiment_manifest.json
uncertainty,mult_0p5,abilene,11,1.0,lp_only,uncertainty\mult_0p5_abilene_load1p0_seed11,uncertainty\mult_0p5_abilene_load1p0_seed11\experiment_manifest.json
uncertainty,mult_0p5,abilene,13,1.0,lp_only,uncertainty\mult_0p5_abilene_load1p0_seed13,uncertainty\mult_0p5_abilene_load1p0_seed13\experiment_manifest.json
uncertainty,mult_0p5,nsfnet,7,1.0,lp_only,uncertainty\mult_0p5_nsfnet_load1p0_seed7,uncertainty\mult_0p5_nsfnet_load1p0_seed7\experiment_manifest.json
uncertainty,mult_0p5,nsfnet,11,1.0,lp_only,uncertainty\mult_0p5_nsfnet_load1p0_seed11,uncertainty\mult_0p5_nsfnet_load1p0_seed11\experiment_manifest.json
uncertainty,mult_0p5,nsfnet,13,1.0,lp_only,uncertainty\mult_0p5_nsfnet_load1p0_seed13,uncertainty\mult_0p5_nsfnet_load1p0_seed13\experiment_manifest.json
robust,nominal_s2,abilene,7,1.0,lp_only,robust\nominal_s2_abilene_load1p0_seed7,robust\nominal_s2_abilene_load1p0_seed7\experiment_manifest.json
robust,nominal_s2,abilene,11,1.0,lp_only,robust\nominal_s2_abilene_load1p0_seed11,robust\nominal_s2_abilene_load1p0_seed11\experiment_manifest.json
robust,nominal_s2,abilene,13,1.0,lp_only,robust\nominal_s2_abilene_load1p0_seed13,robust\nominal_s2_abilene_load1p0_seed13\experiment_manifest.json
robust,nominal_s2,nsfnet,7,1.0,lp_only,robust\nominal_s2_nsfnet_load1p0_seed7,robust\nominal_s2_nsfnet_load1p0_seed7\experiment_manifest.json
robust,nominal_s2,nsfnet,11,1.0,lp_only,robust\nominal_s2_nsfnet_load1p0_seed11,robust\nominal_s2_nsfnet_load1p0_seed11\experiment_manifest.json
robust,nominal_s2,nsfnet,13,1.0,lp_only,robust\nominal_s2_nsfnet_load1p0_seed13,robust\nominal_s2_nsfnet_load1p0_seed13\experiment_manifest.json
robust,balanced_s3,abilene,7,1.0,lp_only,robust\balanced_s3_abilene_load1p0_seed7,robust\balanced_s3_abilene_load1p0_seed7\experiment_manifest.json
robust,balanced_s3,abilene,11,1.0,lp_only,robust\balanced_s3_abilene_load1p0_seed11,robust\balanced_s3_abilene_load1p0_seed11\experiment_manifest.json
robust,balanced_s3,abilene,13,1.0,lp_only,robust\balanced_s3_abilene_load1p0_seed13,robust\balanced_s3_abilene_load1p0_seed13\experiment_manifest.json
robust,balanced_s3,nsfnet,7,1.0,lp_only,robust\balanced_s3_nsfnet_load1p0_seed7,robust\balanced_s3_nsfnet_load1p0_seed7\experiment_manifest.json
robust,balanced_s3,nsfnet,11,1.0,lp_only,robust\balanced_s3_nsfnet_load1p0_seed11,robust\balanced_s3_nsfnet_load1p0_seed11\experiment_manifest.json
robust,balanced_s3,nsfnet,13,1.0,lp_only,robust\balanced_s3_nsfnet_load1p0_seed13,robust\balanced_s3_nsfnet_load1p0_seed13\experiment_manifest.json
robust,conservative_s4,abilene,7,1.0,lp_only,robust\conservative_s4_abilene_load1p0_seed7,robust\conservative_s4_abilene_load1p0_seed7\experiment_manifest.json
robust,conservative_s4,abilene,11,1.0,lp_only,robust\conservative_s4_abilene_load1p0_seed11,robust\conservative_s4_abilene_load1p0_seed11\experiment_manifest.json
robust,conservative_s4,abilene,13,1.0,lp_only,robust\conservative_s4_abilene_load1p0_seed13,robust\conservative_s4_abilene_load1p0_seed13\experiment_manifest.json
robust,conservative_s4,nsfnet,7,1.0,lp_only,robust\conservative_s4_nsfnet_load1p0_seed7,robust\conservative_s4_nsfnet_load1p0_seed7\experiment_manifest.json
robust,conservative_s4,nsfnet,11,1.0,lp_only,robust\conservative_s4_nsfnet_load1p0_seed11,robust\conservative_s4_nsfnet_load1p0_seed11\experiment_manifest.json
robust,conservative_s4,nsfnet,13,1.0,lp_only,robust\conservative_s4_nsfnet_load1p0_seed13,robust\conservative_s4_nsfnet_load1p0_seed13\experiment_manifest.json
