time_step,topology,seed,load_scale,method,scenario,failed_link,commodity_rank,source,destination,disrupted_amount,demand_value,commodity_disruption_ratio
22,abilene,11,1.0,moving_average,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,1,Atlanta,Sunnyvale,4.729442,4.729441960237003,1.000000008407545
22,abilene,11,1.0,moving_average,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,2,Seattle,New York,4.5804063,4.580406291853288,1.0000000017786002
22,abilene,11,1.0,moving_average,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,3,Sunnyvale,Indianapolis,4.5282716,4.528271603871198,0.9999999991451048
22,abilene,11,1.0,moving_average,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,4,Denver,Washington DC,4.4619019,4.461901932555693,0.9999999927036287
22,abilene,11,1.0,moving_average,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,5,Kansas City,New York,4.4341788,4.434178767868045,1.0000000072464275
22,abilene,11,1.0,moving_average,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,1,Kansas City,Los Angeles,4.6655461,4.66554605430235,1.0000000097947057
22,abilene,11,1.0,moving_average,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,2,Washington DC,Denver,4.5239798,4.523979842419946,0.9999999906233124
22,abilene,11,1.0,moving_average,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,3,Houston,Seattle,4.4039617,4.403961744100175,0.9999999899862493
22,abilene,11,1.0,moving_average,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,4,Indianapolis,Houston,4.0848717,4.084871662655354,1.0000000091421832
22,abilene,11,1.0,moving_average,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,5,Houston,Denver,4.0172659,4.017265881483575,1.0000000046092108
22,abilene,11,1.0,linear_autoregressive,critical_failure_fixed,Denver -> Kansas City & Kansas City -> Denver,1,Washington DC,Denver,4.4794863,4.479486290260473,1.0000000021742508
22,abilene,11,1.0,linear_autoregressive,critical_failure_fixed,Denver -> Kansas City & Kansas City -> Denver,2,Indianapolis,Seattle,4.3915651,4.391565084384504,1.000000003555793
22,abilene,11,1.0,linear_autoregressive,critical_failure_fixed,Denver -> Kansas City & Kansas City -> Denver,3,Denver,Washington DC,4.3668283,4.366828347076658,0.9999999892194851
22,abilene,11,1.0,linear_autoregressive,critical_failure_fixed,Denver -> Kansas City & Kansas City -> Denver,4,Atlanta,Sunnyvale,4.3267785,4.326778496095179,1.0000000009024776
22,abilene,11,1.0,linear_autoregressive,critical_failure_fixed,Denver -> Kansas City & Kansas City -> Denver,5,Kansas City,Sunnyvale,4.2836867,4.283686695105323,1.0000000011426318
22,abilene,11,1.0,linear_autoregressive,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,1,Washington DC,Denver,4.4794863,4.479486290260473,1.0000000021742508
22,abilene,11,1.0,linear_autoregressive,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,2,Kansas City,Los Angeles,4.2226802,4.2226802081635215,0.9999999980667441
22,abilene,11,1.0,linear_autoregressive,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,3,Houston,Seattle,4.0552266,4.055226599205854,1.0000000001958327
22,abilene,11,1.0,linear_autoregressive,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,4,Denver,Atlanta,3.9876757,3.987675746117024,0.9999999884351118
22,abilene,11,1.0,linear_autoregressive,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,5,Houston,Kansas City,3.7820753,3.7820753229510093,0.9999999939316361
22,abilene,11,1.0,lstm,critical_failure_fixed,Denver -> Kansas City & Kansas City -> Denver,1,Kansas City,Sunnyvale,5.3094769,5.309476852416992,1.0000000089619014
22,abilene,11,1.0,lstm,critical_failure_fixed,Denver -> Kansas City & Kansas City -> Denver,2,Atlanta,Sunnyvale,5.1736646,5.173664569854736,1.0000000058266754
22,abilene,11,1.0,lstm,critical_failure_fixed,Denver -> Kansas City & Kansas City -> Denver,3,Denver,Washington DC,5.1507139,5.150713920593262,0.9999999960018627
22,abilene,11,1.0,lstm,critical_failure_fixed,Denver -> Kansas City & Kansas City -> Denver,4,Seattle,New York,5.149003,5.149003028869629,0.9999999943931615
22,abilene,11,1.0,lstm,critical_failure_fixed,Denver -> Kansas City & Kansas City -> Denver,5,Indianapolis,Seattle,5.0973215,5.097321510314941,0.9999999979763996
22,abilene,11,1.0,lstm,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,1,Kansas City,Los Angeles,5.1786737,5.17867374420166,0.9999999914646757
22,abilene,11,1.0,lstm,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,2,Houston,Seattle,5.0083675,5.008367538452148,0.9999999923224189
22,abilene,11,1.0,lstm,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,3,Washington DC,Denver,4.9993463,4.9993462562561035,1.0000000087499235
22,abilene,11,1.0,lstm,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,4,Houston,Kansas City,4.5623703,4.562370300292969,0.9999999999357859
22,abilene,11,1.0,lstm,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,5,Denver,Atlanta,4.5365515,4.536551475524902,1.0000000053950886
22,abilene,11,1.0,transformer,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,1,Atlanta,Sunnyvale,5.0998106,5.099810600280762,0.9999999999449466
22,abilene,11,1.0,transformer,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,2,Seattle,New York,5.0769734,5.0769734382629395,0.9999999924634352
22,abilene,11,1.0,transformer,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,3,Chicago,Sunnyvale,5.0629025,5.062902450561523,1.0000000097648487
22,abilene,11,1.0,transformer,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,4,Denver,Washington DC,5.0179596,5.0179595947265625,1.0000000010509127
22,abilene,11,1.0,transformer,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,5,Indianapolis,Seattle,4.9388571,4.938857078552246,1.0000000043426553
22,abilene,11,1.0,transformer,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,1,Kansas City,Los Angeles,5.1614861,5.1614861488342285,0.9999999905387272
22,abilene,11,1.0,transformer,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,2,Washington DC,Denver,4.9311419,4.9311418533325195,1.0000000094638284
22,abilene,11,1.0,transformer,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,3,Houston,Seattle,4.8453369,4.8453369140625,0.9999999970977251
22,abilene,11,1.0,transformer,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,4,Houston,Kansas City,4.4417667,4.441766738891602,0.9999999912441143
22,abilene,11,1.0,transformer,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,5,Houston,Denver,4.4344268,4.434426784515381,1.0000000034919099
23,abilene,11,1.0,moving_average,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,1,Atlanta,Sunnyvale,4.8209838,4.820983779018449,1.0000000043521304
23,abilene,11,1.0,moving_average,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,2,Denver,Washington DC,4.7602643,4.760264310980819,0.9999999976932333
23,abilene,11,1.0,moving_average,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,3,Sunnyvale,Indianapolis,4.619913,4.619912958257485,1.0000000090353467
23,abilene,11,1.0,moving_average,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,4,Seattle,New York,4.6169165,4.616916463654347,1.0000000078722788
23,abilene,11,1.0,moving_average,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,5,Indianapolis,Seattle,4.6055392,4.605539196421084,1.0000000007770895
23,abilene,11,1.0,moving_average,random_failure_fixed,New York -> Chicago & Chicago -> New York,1,Seattle,New York,4.6169165,4.616916463654347,1.0000000078722788
23,abilene,11,1.0,moving_average,random_failure_fixed,New York -> Chicago & Chicago -> New York,2,Kansas City,New York,4.5778191,4.5778190927273705,1.000000001588667
23,abilene,11,1.0,moving_average,random_failure_fixed,New York -> Chicago & Chicago -> New York,3,Chicago,New York,3.589221,3.589221019310161,0.9999999946199578
23,abilene,11,1.0,moving_average,random_failure_fixed,New York -> Chicago & Chicago -> New York,4,Washington DC,Chicago,3.5363691,3.53636914616114,0.9999999869467416
23,abilene,11,1.0,moving_average,random_failure_fixed,New York -> Chicago & Chicago -> New York,5,New York,Chicago,3.5278711,3.5278710750321665,1.000000007077309
23,abilene,11,1.0,linear_autoregressive,critical_failure_fixed,Denver -> Kansas City & Kansas City -> Denver,1,Chicago,Sunnyvale,5.8109273,5.810927279697957,1.00000000349377
23,abilene,11,1.0,linear_autoregressive,critical_failure_fixed,Denver -> Kansas City & Kansas City -> Denver,2,Kansas City,Sunnyvale,5.402347,5.402347016437809,0.9999999969572837
23,abilene,11,1.0,linear_autoregressive,critical_failure_fixed,Denver -> Kansas City & Kansas City -> Denver,3,Seattle,New York,5.2660355,5.266035488106201,1.0000000022585869
23,abilene,11,1.0,linear_autoregressive,critical_failure_fixed,Denver -> Kansas City & Kansas City -> Denver,4,Atlanta,Sunnyvale,5.2583329,5.2583329422087015,0.9999999919729881
23,abilene,11,1.0,linear_autoregressive,critical_failure_fixed,Denver -> Kansas City & Kansas City -> Denver,5,Indianapolis,Seattle,5.1387999,5.138799857601352,1.0000000082506908
23,abilene,11,1.0,linear_autoregressive,random_failure_fixed,New York -> Chicago & Chicago -> New York,1,Seattle,New York,5.2660355,5.266035488106201,1.0000000022585869
23,abilene,11,1.0,linear_autoregressive,random_failure_fixed,New York -> Chicago & Chicago -> New York,2,Kansas City,New York,5.0406575,5.040657548464946,0.9999999903851937
23,abilene,11,1.0,linear_autoregressive,random_failure_fixed,New York -> Chicago & Chicago -> New York,3,Chicago,New York,4.0884641,4.088464149915478,0.9999999877911421
23,abilene,11,1.0,linear_autoregressive,random_failure_fixed,New York -> Chicago & Chicago -> New York,4,New York,Chicago,3.9245342,3.924534221275169,0.9999999945789315
23,abilene,11,1.0,linear_autoregressive,random_failure_fixed,New York -> Chicago & Chicago -> New York,5,New York,Indianapolis,3.7099728,3.7099727879589692,1.0000000032455847
