time_step,topology,topology_source,seed,load_scale,method_profile,experiment_label,ablation_family,ablation_variant,method,solver_status,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config,prediction_mae,prediction_rmse,nominal_max_utilization,nominal_avg_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_served_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,robust_failure_scenarios
22,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,moving_average,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.47800055721247575,0.5676156139089775,0.8417456080000001,0.5011514311472223,1.7836968583333332,0.8726577600000001,0.6899910913799858,0.3100089086200141,0.8580892001556192,0.1419107998443808,0.6878838304079357,0.8538570826132545,,,,,,
22,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,linear_autoregressive,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.29213740181332515,0.3696293091338123,0.8990943111111113,0.5363280341507936,1.9119424266666663,0.9328711533333334,0.6878226295855326,0.3121773704144674,0.8572206399829171,0.142779360017083,0.6842863999153178,0.8529625636354914,,,,,,
22,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,lstm,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.2143814820432134,0.28706255704320316,0.9434448755555555,0.5585590621099207,1.9835743366666667,0.978850796,0.6880068982040515,0.3119931017959485,0.8574931519610013,0.1425068480389987,0.6851093104864439,0.8526269116932187,,,,,,
22,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,transformer,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.21525602180904152,0.28424105766546603,0.9815751426666666,0.5802795440853175,2.053422636666667,1.02083224,0.6883041194637568,0.3116958805362432,0.85949937347966,0.14050062652034004,0.6864264872412574,0.8540212025459201,,,,,,
23,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,moving_average,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,1.013383229726608,1.116649374798624,0.8546896844444444,0.5110741960630952,1.822725505,0.8917259000000002,0.6896056541698582,0.3103943458301418,0.8868599511134556,0.11314004888654434,0.6876582786264408,0.8818181828985241,,,,,,
23,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,linear_autoregressive,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.8181818313282962,0.9135388861677795,0.8974003800000001,0.5398303539444445,1.9271657083333333,0.9381303816666667,0.6901426551893236,0.30985734481067645,0.8905460709694495,0.10945392903055046,0.68336205563294,0.8818181828953999,,,,,,
23,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,lstm,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.7131116256872215,0.8007952795598807,0.9434448755555555,0.5585590621099207,1.9835743366666667,0.9619896200000001,0.6880068982040515,0.3119931017959485,0.8888123118033586,0.11118768819664131,0.6851093104864439,0.8818181821074467,,,,,,
23,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,transformer,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.5829642607201652,0.6773946676506256,0.9815749222222223,0.5802793997738095,2.053421968333333,0.9994872466666668,0.6883041662837787,0.31169583371622134,0.8871905590000774,0.11280944099992271,0.6864264785601841,0.8818181822517848,,,,,,
24,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,moving_average,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,1.2344795236109314,1.3567309638060934,0.9302454093333332,0.5566511952222222,1.9791974983333334,0.9302454080000001,0.6904335931306327,0.3095664068693672,0.8730833917280133,0.12691660827198661,0.6856883563013858,0.8719992091340171,,,,,,
24,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,linear_autoregressive,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.7561613340353596,0.8610349132074463,1.0578299822222221,0.6310069498968254,2.249386251666666,1.0578299844444443,0.6877326439539191,0.3122673560460809,0.8712855702251681,0.1287144297748319,0.6837536778643627,0.8716312253703409,,,,,,
24,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,lstm,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,1.2334992108784153,1.3475177521939767,0.9434448755555555,0.5585590621099207,1.9835743366666667,0.9434448746666667,0.6880068982040515,0.3119931017959485,0.8720481867442171,0.12795181325578286,0.6851093104864439,0.8723521321088984,,,,,,
24,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,transformer,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,1.0984013761888571,1.2196594154132046,0.9815744244444445,0.5802790450749999,2.0534202999999995,0.9815744275,0.688304237990117,0.311695762009883,0.8725378902562511,0.12746210974374902,0.6864264680672123,0.8724175533473663,,,,,,
25,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,moving_average,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,1.1106807022615455,1.2119689528408093,1.04107962,0.6224662976071429,2.223871006666666,1.0410796186666669,0.6841041118282951,0.31589588817170483,0.8859619075089183,0.11403809249108164,0.677962924213696,0.8884943793180228,,,,,,
25,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,linear_autoregressive,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.5398905495583346,0.6284141775957844,1.1979764733333331,0.7112340365793651,2.5166752033333335,1.1979764746666666,0.6884647878883853,0.31153521211161467,0.8863907926670344,0.11360920733296563,0.6802504116966253,0.8864425342469382,,,,,,
25,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,lstm,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,1.5458053509813066,1.6648270690899756,0.9434448755555555,0.5585590621099207,1.9835743366666667,0.9434448755555555,0.6880068982040515,0.3119931017959485,0.8852249286022129,0.11477507139778712,0.6851093104864439,0.8873655730808799,,,,,,
25,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,transformer,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,1.410708166524237,1.535376826629258,0.981574231111111,0.5802789169630953,2.053419733333333,0.981574231111111,0.6883042520136957,0.31169574798630434,0.8851247245317956,0.11487527546820439,0.686426465365984,0.8872318504967919,,,,,,
26,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,moving_average,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.8010950959583266,1.1088645488812399,1.15678178,0.693067407781746,2.4818263550000004,1.9854610840000002,0.6880009240280872,0.31199907597191273,0.7787360164102389,0.22126398358976107,0.684695577703232,0.783252321500574,,,,,,
26,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,linear_autoregressive,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.5141042428663005,0.8062600017680577,1.2509577613333331,0.7414790347619047,2.6305061566666668,2.1044049253333332,0.6885006383345165,0.31149936166548353,0.7751558810259426,0.22484411897405748,0.6846397080017125,0.7809644994113295,,,,,,
26,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,lstm,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,1.6964615773618512,1.921680720505409,0.9434448755555555,0.5585590621099207,1.9835743366666667,1.5868594693333333,0.6880068982040515,0.3119931017959485,0.7767254162847561,0.2232745837152439,0.6851093104864439,0.7812612549880119,,,,,,
26,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,transformer,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,1.5613636067145906,1.790359946600074,0.9815744626666668,0.5802790639682539,2.0534203766666663,1.6427363013333331,0.688304247601004,0.3116957523989961,0.7747530373982705,0.22524696260172958,0.6864264674945002,0.778468084633454,,,,,,
27,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,moving_average,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.21823562862545798,0.3136862838127554,1.2832080733333333,0.7576872766468254,2.674386363333334,1.3109894759999998,0.6886908473386738,0.31130915266132614,0.8881796524485128,0.11182034755148713,0.6854926303214562,0.8818181826060382,,,,,,
27,abilene,topozoo/Abilene,13,1.0,ml_only,transformer:base,transformer,base,linear_autoregressive,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.31084366375466754,0.4126521050551781,1.322642048888889,0.7874894821904762,2.8321093933333334,1.3640462755555558,0.68650700565292,0.31349299434708,0.8898572608887133,0.11014273911128662,0.6843822333383754,0.8818181822339257,,,,,,
