time_step,topology,topology_source,seed,load_scale,method_profile,experiment_label,ablation_family,ablation_variant,method,solver_status,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config,prediction_mae,prediction_rmse,nominal_max_utilization,nominal_avg_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_served_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,robust_failure_scenarios
22,nsfnet,topozoo/Nsfnet,7,1.0,ml_only,transformer:base,transformer,base,moving_average,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.5478675119290713,0.6421594050454289,0.9594218100000002,0.6861964911953703,1.3124202316666667,0.0,0.7506539418745757,0.2493460581254244,0.8371984134480129,0.16280158655198712,0.7430249383721769,0.8461538471091726,,,,,,
22,nsfnet,topozoo/Nsfnet,7,1.0,ml_only,transformer:base,transformer,base,linear_autoregressive,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.69018144018093,0.7786245751203503,0.9204717202666667,0.6558341854582223,1.2547716701833336,0.0,0.7516903186431397,0.2483096813568603,0.8374335288038631,0.16256647119613687,0.7461178620068233,0.8461538477893731,,,,,,
22,nsfnet,topozoo/Nsfnet,7,1.0,ml_only,transformer:base,transformer,base,lstm,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.24095523204239336,0.30706116330679656,1.0772688333333336,0.7695544015308889,1.4753871256666666,0.0,0.7511123959007772,0.24888760409922284,0.8378797302838,0.16212026971619994,0.7449021777409738,0.8461538474414316,,,,,,
22,nsfnet,topozoo/Nsfnet,7,1.0,ml_only,transformer:base,transformer,base,transformer,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.22225782453415083,0.29161050620379386,1.1617304983333334,0.8256963783972593,1.5851313444444446,0.0,0.751152678385064,0.24884732161493586,0.8377859630902804,0.16221403690971967,0.7463656626371505,0.846153846911152,,,,,,
23,nsfnet,topozoo/Nsfnet,7,1.0,ml_only,transformer:base,transformer,base,moving_average,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.9304602516232948,1.020342578610384,0.9896267011111112,0.706729782061111,1.3553324466666665,1.4207553866666667,0.748702283237643,0.251297716762357,0.8289948708721135,0.17100512912788654,0.7424908069591395,0.8163688969353015,,,,,,
23,nsfnet,topozoo/Nsfnet,7,1.0,ml_only,transformer:base,transformer,base,linear_autoregressive,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.6386969904029105,0.7199985276967181,1.0841480333333329,0.7691177357603702,1.4786384022222223,1.5448193959999998,0.7499161392443823,0.2500838607556176,0.8284573819537843,0.1715426180462158,0.747651700965251,0.8161503058263825,,,,,,
23,nsfnet,topozoo/Nsfnet,7,1.0,ml_only,transformer:base,transformer,base,lstm,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.6421442541413772,0.7212180963871345,1.0772688333333336,0.7695544015308889,1.4753871256666666,1.5508992039999998,0.7511123959007772,0.24888760409922284,0.82703618472196,0.1729638152780399,0.7449021777409738,0.8141025653230896,,,,,,
23,nsfnet,topozoo/Nsfnet,7,1.0,ml_only,transformer:base,transformer,base,transformer,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.38094202583846265,0.4557728369757626,1.161726983806,0.8256937161730927,1.5851254281666667,1.6635449706666667,0.751152249713459,0.24884775028654102,0.8277112234257537,0.17228877657424627,0.7463657618417171,0.8154582849974972,,,,,,
24,nsfnet,topozoo/Nsfnet,7,1.0,ml_only,transformer:base,transformer,base,moving_average,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,1.1808048448368782,1.2989751448403462,1.0703634883333335,0.766740007697926,1.4718750255000002,0.0,0.7502502601531176,0.24974973984688242,0.8481250676085091,0.15187493239149077,0.7439099959251446,0.8461538466765178,,,,,,
24,nsfnet,topozoo/Nsfnet,7,1.0,ml_only,transformer:base,transformer,base,linear_autoregressive,Optimal,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.8082573465127159,0.9118556394688758,1.1869999316666666,0.8448536785744445,1.6283203844999998,0.0,0.7492693011979863,0.2507306988020136,0.8474144865075363,0.1525855134924638,0.7451148050669595,0.8461538473411186,,,,,,
