time_step,topology,topology_source,seed,load_scale,method_profile,experiment_label,ablation_family,ablation_variant,method,solver_status,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config,prediction_mae,prediction_rmse,nominal_max_utilization,nominal_avg_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_served_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,robust_failure_scenarios
22,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,moving_average,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.3093512830408716,0.3847178755345359,0.9229988933333334,0.5192889012345238,2.4613303799999997,0.9535484346666666,0.6760240006243922,0.32397599937560784,0.8438227658674028,0.1561772341325971,0.6908967570186771,0.8566394183961058,,,,,,
22,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,linear_autoregressive,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.6553742178887586,0.761663137865211,0.8070359044444444,0.4570674565075397,2.1520957377777776,0.835428211111111,0.6746793939528102,0.3253206060471898,0.8463970773040558,0.15360292269594428,0.6905916898907707,0.8567762506401658,,,,,,
22,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,lstm,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.3647997995462748,0.4420782913053935,0.8988882685333334,0.5058404338083333,1.8144137150000001,0.9273905520000002,0.6682446592444353,0.3317553407555647,0.8548033005378953,0.1451966994621046,0.6815640122680778,0.8643376465228929,,,,,,
22,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,transformer,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.28576593405571266,0.3520283462803556,0.9260432133333333,0.5226423413492064,2.469448562222222,0.9545848600000001,0.6765574465307436,0.3234425534692564,0.8437678834352021,0.15623211656479788,0.6908310165617945,0.8558464616771566,,,,,,
23,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,moving_average,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.8037455866527142,0.9141164950557585,0.9134417911111113,0.5123359170616667,2.4358447711111118,0.9134417916666667,0.6759124835963296,0.3240875164036704,0.8910984448754138,0.10890155512458619,0.690904798764717,0.8818181831289662,,,,,,
23,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,linear_autoregressive,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.5804009788172048,0.6829578927510466,0.9863125488888888,0.5498554473146826,2.6301667911111104,0.986312548888889,0.6755713126142993,0.32442868738570074,0.8905209897624862,0.1094790102375138,0.6908522037698552,0.8818181831235888,,,,,,
23,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,lstm,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.8354885667242798,0.939449352580703,0.8988882685333334,0.5058404338083333,1.8144137150000001,0.898888268,0.6682446592444353,0.3317553407555647,0.8916275514699283,0.10837244853007173,0.6815640122680778,0.8818181827388349,,,,,,
23,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,transformer,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.7066276891591641,0.8047387864007794,0.9341731177777777,0.5273071043738095,2.4911283066666665,0.9341731155555555,0.6766228314673742,0.3233771685326257,0.8923056759185924,0.10769432408140749,0.6908083868125484,0.8818181830925591,,,,,,
24,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,moving_average,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,1.1977508401470258,1.3148674372514102,0.9225787093333332,0.5210484962281746,1.8653673483333328,0.9225787111111111,0.6695399449686357,0.3304600550313644,0.8878839392460817,0.11211606075391836,0.682542822886914,0.8818181825058491,,,,,,
24,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,linear_autoregressive,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.6009301375989761,0.69721852099759,1.0913882955555556,0.6184012768618652,2.9103687733333325,1.0913882933333332,0.6781948069817509,0.32180519301824906,0.88467062497371,0.11532937502629015,0.6909080986721345,0.8818181826295768,,,,,,
24,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,lstm,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,1.3011355140122915,1.427196101102602,0.8988882685333334,0.5058404338083333,1.8144137150000001,0.898888268,0.6682446592444353,0.3317553407555647,0.8860064066778084,0.11399359332219157,0.6815640122680778,0.8818181833897186,,,,,,
24,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,transformer,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,1.0182061388603343,1.1259742511973725,0.9775344725333336,0.5516441393988095,2.6067585933333333,0.9775344733333334,0.676988075412746,0.32301192458725403,0.8864273972150933,0.11357260278490663,0.6908625868714822,0.8818181823032863,,,,,,
25,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,moving_average,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,1.2888349150563372,1.4148895582900058,0.9855345355555556,0.5573919981849206,2.6280920911111116,0.9855345355555555,0.6760935552026909,0.32390644479730907,0.8632547218410072,0.13674527815899287,0.6908997065559092,0.8818087709239305,,,,,,
25,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,linear_autoregressive,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.5210843615814,0.6076060700091751,1.2042411786666667,0.6810175169369047,3.2113098088888887,1.2042411800000001,0.6759001709128941,0.32409982908710583,0.8627220690436033,0.1372779309563967,0.6906142981070535,0.8815228151065733,,,,,,
25,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,lstm,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,1.6115279794270752,1.7596012897542772,0.8988882685333334,0.5058404338083333,1.8144137150000001,0.8988882680000002,0.6682446592444353,0.3317553407555647,0.8625689110629541,0.13743108893704592,0.6815640122680778,0.8817919731582776,,,,,,
25,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,transformer,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,1.128833103331595,1.2467833914024533,1.0339536777777778,0.5831810995261905,2.757209802222223,1.0339536813333334,0.6773832376143286,0.3226167623856714,0.8636059318549995,0.13639406814500057,0.6908990896985747,0.881808151396423,,,,,,
26,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,moving_average,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,1.112929122620538,1.5101892749731298,1.0740093629333334,0.606537504527381,2.864024964444444,1.7384751413333333,0.6756048410513316,0.32439515894866844,0.7614386659857788,0.2385613340142212,0.6908872271311197,0.7635803519013744,,,,,,
26,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,linear_autoregressive,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.3417067732258522,0.8489557789164803,1.3305513893333334,0.7516000648075396,3.5481370377777774,2.161546984,0.6763923936064861,0.3236076063935138,0.7606045913029239,0.23939540869707607,0.6906842646436866,0.7677903366758922,,,,,,
26,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,lstm,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,1.7445488112963328,2.069951344169672,0.8988882685333334,0.5058404338083333,1.8144137150000001,1.451530972,0.6682446592444353,0.3317553407555647,0.7719183933066879,0.2280816066933122,0.6815640122680778,0.7755271675405292,,,,,,
26,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,transformer,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,1.176321673093171,1.5275434406688189,1.0584956333333335,0.5955597936888889,2.138564011666666,1.7108512093333328,0.6690626115631423,0.33093738843685766,0.7718799370502164,0.22812006294978363,0.6817297489709264,0.7744418069433912,,,,,,
27,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,moving_average,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.4550216544020323,0.5486991673978018,1.179834062666667,0.6583081673273811,2.388683688333333,1.1798340633333333,0.66697300510121,0.33302699489878995,0.8916296786154697,0.10837032138453026,0.6836525263211563,0.881818182323668,,,,,,
27,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,linear_autoregressive,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.6167112989840293,0.721575662912035,1.4266988440000001,0.8154879645353175,3.8045302466666664,1.4266988444444444,0.6797664852186556,0.32023351478134443,0.8931770875984963,0.10682291240150367,0.6908953577662088,0.8818181825370479,,,,,,
27,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,lstm,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,1.3986165929148724,1.532783248443168,0.8988882685333334,0.5058404338083333,1.8144137150000001,0.898888268,0.6682446592444353,0.3317553407555647,0.8916275514699283,0.10837244853007173,0.6815640122680778,0.8818181827388349,,,,,,
27,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,transformer,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.8784599473370716,0.9837622821037983,1.0446589641333333,0.5890681972722224,2.7857572333333334,1.0446589626666665,0.6774685400392482,0.3225314599607517,0.8914626424138955,0.10853735758610451,0.690903921570419,0.8818181826686737,,,,,,
28,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,moving_average,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.3297653260208793,0.4406500588498178,1.253400488933333,0.6994465103926588,3.342401302222222,3.342401302222222,0.6744929810477402,0.3255070189522597,0.6744929810477402,0.3255070189522597,0.6909057075514605,0.6909057075514605,,,,,,
28,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,linear_autoregressive,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.23902116608558613,0.32276105474282296,1.200810073333333,0.6766542388817459,2.4334827616666668,3.2021601933333335,0.668139515088435,0.33186048491156495,0.6763032673922184,0.32369673260778153,0.6815706099217033,0.690769135311026,,,,,,
28,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,lstm,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.9106922824156874,1.0082348897063926,0.8988882685333334,0.5058404338083333,1.8144137150000001,2.39703538,0.6682446592444353,0.3317553407555647,0.6761322094690034,0.32386779053099657,0.6815640122680778,0.6908829517283614,,,,,,
28,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,transformer,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.6270137820684443,0.7102816110927805,0.9793915669333332,0.5514372786178572,1.9765283850000004,2.6117108444444446,0.6684717914346135,0.33152820856538645,0.6769523317333928,0.3230476682666072,0.6815462936622518,0.6908660096913328,,,,,,
29,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,moving_average,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.9861581282223815,1.118131329082045,1.277010706,0.7140271257829365,3.405361882222222,1.277010708333333,0.6747455632134365,0.32525443678656346,0.8544182576594549,0.1455817423405451,0.6908918818517884,0.8463517623047607,,,,,,
29,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,linear_autoregressive,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.6542510357218446,0.7500015302362422,1.16270204,0.6585803274821428,3.1005387711111116,1.16270204,0.6763380714382762,0.3236619285617239,0.8549003394904627,0.1450996605095373,0.6907814103992146,0.850150103981994,,,,,,
29,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,lstm,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.3404321475899226,0.4114396778975339,0.8988882685333334,0.5058404338083333,1.8144137150000001,0.89888827,0.6682446592444353,0.3317553407555647,0.8440154966075157,0.15598450339248437,0.6815640122680778,0.8391633718416793,,,,,,
29,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,transformer,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.2928492360308589,0.3576837454781198,0.9165320365333334,0.5173144064813492,2.4440854266666667,0.9165320383333334,0.6764427615479189,0.3235572384520811,0.8547684310445427,0.1452315689554573,0.6908104287578668,0.8487383301883138,,,,,,
30,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,moving_average,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,1.4331924816466088,1.5910844650553102,1.2493777044444445,0.6988175847800395,2.5273640966666666,1.2493777044444445,0.666992801680254,0.33300719831974607,0.8891182201345939,0.11088177986540614,0.6819685790131895,0.9000000005721828,,,,,,
30,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,linear_autoregressive,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.49495337086913277,0.59012308537859,0.9683239356000002,0.5478404434765874,1.9525710649999999,0.9683239360000001,0.6685402230741725,0.3314597769258275,0.8870138458037461,0.11298615419625399,0.6814793866812231,0.9000000005826265,,,,,,
30,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,lstm,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.2658568066311837,0.3430119593530822,0.8988882685333334,0.5058404338083333,1.8144137150000001,0.898888268,0.6682446592444353,0.3317553407555647,0.8873485387275051,0.112651461272495,0.6815640122680778,0.9000000012284078,,,,,,
30,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,transformer,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.19062229144810702,0.2445096604864319,0.8485849858666665,0.47934891382063494,2.2628932933333332,0.8485849853333334,0.675947538222107,0.32405246177789304,0.8870999561162284,0.11290004388377156,0.6907905157282824,0.9000000004039955,,,,,,
31,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,moving_average,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,1.6152236212712265,1.761406155407415,1.17473797,0.6596102296170635,3.1326345844444448,1.1747379693333333,0.6755615674646632,0.3244384325353367,0.8618020101605374,0.13819798983946266,0.6908807172125903,0.8817897342975384,,,,,,
31,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,linear_autoregressive,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.27038741828027096,0.3507898662596838,0.7804678114666666,0.43791376752182537,2.081247495555556,0.7804678119999999,0.6756633830820654,0.3243366169179346,0.860665776868113,0.13933422313188704,0.6906116532247852,0.8815201645926246,,,,,,
31,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,lstm,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.6563109866301482,0.7466314159775013,0.8988882685333334,0.5058404338083333,1.8144137150000001,0.8988882680000002,0.6682446592444353,0.3317553407555647,0.8625689110629541,0.13743108893704592,0.6815640122680778,0.8817919731582776,,,,,,
31,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,transformer,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.2507397143675141,0.3322451524006688,0.7680946114666665,0.433884251843254,1.5532841000000002,0.7680946133333333,0.6670052912550536,0.33299470874494647,0.8612829158237192,0.13871708417628076,0.6814718343707604,0.8816817374632698,,,,,,
32,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,moving_average,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,1.4115498222950307,1.551493608478722,1.0697853000000002,0.5981003102641668,2.1654810549999994,1.7323848439999994,0.6672702908838781,0.3327297091161219,0.7715506608050373,0.2284493391949627,0.6818161413450388,0.7729995389250706,,,,,,
32,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,linear_autoregressive,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.20635048495816982,0.2860973215087515,0.6967069072,0.3900848754194444,1.857885084444444,1.129690816,0.6758914874643209,0.3241085125356791,0.7596603012438583,0.24033969875614164,0.6908746529239468,0.7669819726101353,,,,,,
32,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,lstm,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.830610370337906,0.9304001801694705,0.8988882756,0.5058404370162698,1.8144137200000003,1.4515309760000001,0.6682446566158076,0.33175534338419244,0.7719183933066879,0.22808160669331218,0.6815640116799847,0.7755271687165344,,,,,,
32,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,transformer,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.27428990846664014,0.35685690284298754,0.7273207276,0.41118571500912704,1.4717118733333334,1.1773694986666667,0.6663323789566387,0.33366762104336145,0.7720718005653027,0.22792819943469736,0.6812870725131364,0.7766073288274784,,,,,,
33,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,moving_average,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.9667136312208375,1.0753229166408425,0.9363023511111109,0.5284744192638888,1.8920690316666666,1.5136552253333333,0.6730075492011515,0.32699245079884853,0.7677528803626774,0.23224711963732259,0.6889221963311055,0.7728981579990537,,,,,,
33,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,linear_autoregressive,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.32444261296827065,0.40984357510570496,0.5870030053333334,0.3306374721416666,1.5653413422222218,0.954513796,0.6772365374903014,0.3227634625096985,0.758428413906053,0.2415715860939471,0.6908865687725073,0.7668694193235721,,,,,,
33,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,lstm,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.8149673903239629,0.9182385160130785,0.8988882826666668,0.5058404400123016,1.8144137350000002,1.4515309880000002,0.6682446535187115,0.3317553464812885,0.7719183914848665,0.22808160851513343,0.6815640123140186,0.7755271654283513,,,,,,
