time_step,topology,topology_source,seed,load_scale,method_profile,experiment_label,ablation_family,ablation_variant,method,solver_status,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config,prediction_mae,prediction_rmse,nominal_max_utilization,nominal_avg_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_served_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,robust_failure_scenarios
22,nsfnet,topozoo/Nsfnet,13,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,moving_average,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.30959665750311166,0.3919635551554077,1.0190469044444443,0.7512668905785184,1.4810730355555557,0.0,0.7487791712391325,0.2512208287608675,0.8341196341292049,0.1658803658707952,0.7559988816189982,0.8461538472688415,,,,,,
22,nsfnet,topozoo/Nsfnet,13,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,linear_autoregressive,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.6956758942181269,0.7899518090101612,0.9062793911111113,0.6632783584477779,1.3027206955555557,0.0,0.757966805586385,0.242033194413615,0.8344257966272901,0.16557420337270984,0.7647339958033732,0.8461538472332047,,,,,,
22,nsfnet,topozoo/Nsfnet,13,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,lstm,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.38438356102862187,0.46861514488020956,0.9942980527666667,0.7306393095476297,1.4399061977777778,0.0,0.7464712885180971,0.25352871148190287,0.8344282379497371,0.16557176205026286,0.7507733728474022,0.8461538472248556,,,,,,
22,nsfnet,topozoo/Nsfnet,13,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,transformer,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.23425315394336904,0.30028857972755046,1.064877088888889,0.7805669394177775,1.5369150433333332,0.0,0.7552338652564405,0.24476613474355943,0.8347675387455001,0.16523246125449992,0.7623711755245676,0.8461538475264057,,,,,,
23,nsfnet,topozoo/Nsfnet,13,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,moving_average,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.8494494486111862,0.9520365315465016,1.006938565,0.7404029862544442,1.4556010084444442,1.4733841666666667,0.7553493738054432,0.24465062619455671,0.825375600555989,0.17462439944401092,0.7652281104070829,0.8242502571751938,,,,,,
23,nsfnet,topozoo/Nsfnet,13,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,linear_autoregressive,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.6115031297377763,0.7027771290420923,1.0778719624444444,0.79456252126337,1.5584187422222224,1.5641874786666665,0.7571018178684552,0.2428981821315448,0.8240094677631176,0.1759905322368824,0.7649976581788074,0.8205513392210305,,,,,,
23,nsfnet,topozoo/Nsfnet,13,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,lstm,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.8958624840068034,0.9928393644369194,0.9942980527666667,0.7306393095476297,1.4399061977777778,1.448947982666667,0.7464712885180971,0.25352871148190287,0.8228025081965947,0.17719749180340524,0.7507733728474022,0.8205128216352244,,,,,,
23,nsfnet,topozoo/Nsfnet,13,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,transformer,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.5619744887413991,0.6538841767952267,1.0983368544444443,0.8051254756559258,1.5852098511111112,1.5945123826666667,0.7554928410029873,0.2445071589970127,0.8221196193668273,0.17788038063317266,0.7627657560040922,0.8205128216504621,,,,,,
24,nsfnet,topozoo/Nsfnet,13,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,moving_average,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,1.307436696773647,1.4247796115852753,1.0286895476444444,0.7566806955362962,1.4871328111111113,0.0,0.7488135018809704,0.2511864981190295,0.834776082059178,0.165223917940822,0.7534493940198198,0.84615384699742,,,,,,
24,nsfnet,topozoo/Nsfnet,13,1.0,ml_only,transformer:tuned_a,transformer,tuned_a,linear_autoregressive,Optimal,6,96,4,2,0.05,140,0.003,3,1,0,0.5,0.5,0.25,0.572643088516494,0.6687176704138041,1.2477803166666666,0.9206261038792594,1.8004102000000004,0.0,0.7573634457236689,0.2426365542763311,0.8341202118562377,0.1658797881437623,0.7642802904517906,0.8461538470490856,,,,,,
