time_step,topology,seed,load_scale,method,scenario,failed_link,commodity_rank,source,destination,disrupted_amount,demand_value,commodity_disruption_ratio
22,abilene,13,1.0,moving_average,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,1,Kansas City,Indianapolis,5.3371458,5.337145776880313,1.0000000043318447
22,abilene,13,1.0,moving_average,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,2,Chicago,Seattle,5.0146875,5.014687518917905,0.9999999962275007
22,abilene,13,1.0,moving_average,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,3,Chicago,Kansas City,4.9548055,4.954805511215286,0.9999999977364832
22,abilene,13,1.0,moving_average,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,4,Kansas City,New York,4.9343678,4.934367810451378,0.9999999978819216
22,abilene,13,1.0,moving_average,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,5,Denver,Washington DC,4.8947805,4.894780518398266,0.9999999962412481
22,abilene,13,1.0,moving_average,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,1,Washington DC,Denver,5.36397,5.36397002275546,0.9999999957577206
22,abilene,13,1.0,moving_average,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,2,Los Angeles,Kansas City,5.2595365,5.2595365430693795,0.9999999918111836
22,abilene,13,1.0,moving_average,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,3,Houston,Chicago,4.800466,4.80046595857297,1.0000000086297935
22,abilene,13,1.0,moving_average,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,4,Houston,Denver,4.7940871,4.794087096408282,1.0000000007491976
22,abilene,13,1.0,moving_average,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,5,Houston,Seattle,4.6831412,4.683141173376854,1.0000000056848906
22,abilene,13,1.0,linear_autoregressive,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,1,Kansas City,Indianapolis,5.0055231,5.005523079658683,1.0000000040637744
22,abilene,13,1.0,linear_autoregressive,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,2,Chicago,Seattle,4.7934299,4.793429937641612,0.9999999921472489
22,abilene,13,1.0,linear_autoregressive,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,3,Denver,Washington DC,4.7849806,4.784980578400721,1.000000004513974
22,abilene,13,1.0,linear_autoregressive,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,4,Kansas City,New York,4.7540158,4.75401580863417,0.9999999981838155
22,abilene,13,1.0,linear_autoregressive,critical_failure_fixed,Kansas City -> Indianapolis & Indianapolis -> Kansas City,5,Kansas City,Chicago,4.7179646,4.717964626923806,0.9999999942933431
22,abilene,13,1.0,linear_autoregressive,random_failure_fixed,Kansas City -> Houston & Houston -> Kansas City,1,Los Angeles,Kansas City,5.2606499,5.260649883097325,1.0000000032130394
