time_step,topology,topology_source,seed,load_scale,method_profile,experiment_label,ablation_family,ablation_variant,method,solver_status,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config,prediction_mae,prediction_rmse,nominal_max_utilization,nominal_avg_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_served_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,robust_failure_scenarios
22,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,moving_average,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.3093512830408716,0.3847178755345359,0.9229988933333334,0.5192889012345238,2.4613303799999997,0.9535484346666666,0.6760240006243922,0.32397599937560784,0.8438227658674028,0.1561772341325971,0.6908967570186771,0.8566394183961058,,,,,,
22,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,linear_autoregressive,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.6553742178887586,0.761663137865211,0.8070359044444444,0.4570674565075397,2.1520957377777776,0.835428211111111,0.6746793939528102,0.3253206060471898,0.8463970773040558,0.15360292269594428,0.6905916898907707,0.8567762506401658,,,,,,
22,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,lstm,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.3647997995462748,0.4420782913053935,0.8988882685333334,0.5058404338083333,1.8144137150000001,0.9273905520000002,0.6682446592444353,0.3317553407555647,0.8548033005378953,0.1451966994621046,0.6815640122680778,0.8643376465228929,,,,,,
22,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,transformer,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.3438930776120963,0.4184538648265796,0.9086387420000002,0.5105172147777778,1.8317466250000003,0.9373944120000001,0.6677623826618021,0.3322376173381979,0.8548148064330411,0.14518519356695894,0.6814049300339484,0.8643905579036079,,,,,,
23,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,moving_average,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.8037455866527142,0.9141164950557585,0.9134417911111113,0.5123359170616667,2.4358447711111118,0.9134417916666667,0.6759124835963296,0.3240875164036704,0.8910984448754138,0.10890155512458619,0.690904798764717,0.8818181831289662,,,,,,
23,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,linear_autoregressive,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.5804009788172048,0.6829578927510466,0.9863125488888888,0.5498554473146826,2.6301667911111104,0.986312548888889,0.6755713126142993,0.32442868738570074,0.8905209897624862,0.1094790102375138,0.6908522037698552,0.8818181831235888,,,,,,
23,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,lstm,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.8354885667242798,0.939449352580703,0.8988882685333334,0.5058404338083333,1.8144137150000001,0.898888268,0.6682446592444353,0.3317553407555647,0.8916275514699283,0.10837244853007173,0.6815640122680778,0.8818181827388349,,,,,,
23,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,transformer,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.8054592383228563,0.9080471876992514,0.9086411466666667,0.5105184883075397,1.8317513133333339,0.9086411466666667,0.6677623909141652,0.33223760908583483,0.8916419458289842,0.10835805417101577,0.6814049432130677,0.8818181829650241,,,,,,
24,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,moving_average,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,1.1977508401470258,1.3148674372514102,0.9225787093333332,0.5210484962281746,1.8653673483333328,0.9225787111111111,0.6695399449686357,0.3304600550313644,0.8878839392460817,0.11211606075391836,0.682542822886914,0.8818181825058491,,,,,,
24,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,linear_autoregressive,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.6009301375989761,0.69721852099759,1.0913882955555556,0.6184012768618652,2.9103687733333325,1.0913882933333332,0.6781948069817509,0.32180519301824906,0.88467062497371,0.11532937502629015,0.6909080986721345,0.8818181826295768,,,,,,
24,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,lstm,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,1.3011355140122915,1.427196101102602,0.8988882685333334,0.5058404338083333,1.8144137150000001,0.898888268,0.6682446592444353,0.3317553407555647,0.8860064066778084,0.11399359332219157,0.6815640122680778,0.8818181833897186,,,,,,
24,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,transformer,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,1.2710988084277262,1.3951222881777299,0.9086433822222222,0.5105196249309524,1.8317555499999998,0.9086433813333332,0.6677624217047876,0.33223757829521244,0.8857985801930073,0.11420141980699272,0.6814049459278751,0.8818181830279136,,,,,,
25,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,moving_average,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,1.2888349150563372,1.4148895582900058,0.9855345355555556,0.5573919981849206,2.6280920911111116,0.9855345355555555,0.6760935552026909,0.32390644479730907,0.8632547218410072,0.13674527815899287,0.6908997065559092,0.8818087709239305,,,,,,
25,abilene,topozoo/Abilene,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,linear_autoregressive,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.5210843615814,0.6076060700091751,1.2042411786666667,0.6810175169369047,3.2113098088888887,1.2042411800000001,0.6759001709128941,0.32409982908710583,0.8627220690436033,0.1372779309563967,0.6906142981070535,0.8815228151065733,,,,,,
