time_step,topology,topology_source,seed,load_scale,method_profile,experiment_label,ablation_family,ablation_variant,method,solver_status,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config,prediction_mae,prediction_rmse,nominal_max_utilization,nominal_avg_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_served_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,robust_failure_scenarios
22,nsfnet,topozoo/Nsfnet,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,moving_average,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.31973625876801853,0.40648774797347464,0.975257316,0.69980689247,1.3754386316666662,0.0,0.7457654340812455,0.25423456591875443,0.848853363711517,0.15114663628848302,0.7409296021396569,0.8461538478234361,,,,,,
22,nsfnet,topozoo/Nsfnet,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,linear_autoregressive,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.3706639240690145,0.4579358876064014,0.9559550977777778,0.6864520444214816,1.3553686633333335,0.0,0.740028455700914,0.259971544299086,0.8466755392156876,0.15332446078431242,0.7345854759764489,0.8461538477905474,,,,,,
22,nsfnet,topozoo/Nsfnet,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,lstm,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.37958431046782226,0.46530867861170144,0.9493799622222222,0.6831248403559259,1.3501478333333334,0.0,0.7441423150656267,0.2558576849343734,0.848269356092272,0.15173064390772795,0.7402294261551634,0.8461538475526902,,,,,,
22,nsfnet,topozoo/Nsfnet,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,transformer,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.3278041477337088,0.4105534990827389,0.9678929233333332,0.6963868047902224,1.3760323384444446,0.0,0.7401056502783635,0.2598943497216365,0.8484847831688811,0.15151521683111888,0.7347354872775085,0.8461538471959718,,,,,,
23,nsfnet,topozoo/Nsfnet,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,moving_average,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.831196634131828,0.923906563205012,0.9607207400000001,0.6909940980976816,1.3618135316666664,1.3863484444444445,0.7462999392336471,0.2537000607663528,0.8270572683608814,0.1729427316391186,0.7409829205951448,0.8205294726639966,,,,,,
23,nsfnet,topozoo/Nsfnet,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,linear_autoregressive,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.6714741714156631,0.7590686203608417,1.0121786833333333,0.7252803459778889,1.4217511266666667,1.458092391111111,0.7415886939342569,0.2584113060657432,0.8320109997585761,0.167989000241424,0.73592746286442,0.826923078195851,,,,,,
23,nsfnet,topozoo/Nsfnet,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,lstm,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.8685844633613001,0.9599247666416854,0.9493799622222222,0.6831248403559259,1.3501478333333334,1.3661831355555556,0.7441423150656267,0.2558576849343734,0.8272503303481774,0.1727496696518226,0.7402294261551634,0.8205128217281616,,,,,,
23,nsfnet,topozoo/Nsfnet,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,transformer,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.8036769280679016,0.8931905325242221,0.9678912733333332,0.6963857616514074,1.3760299873111113,1.394771306666667,0.7401056932401157,0.2598943067598843,0.8324483803250816,0.16755161967491836,0.7347354736824959,0.8269230781212729,,,,,,
24,nsfnet,topozoo/Nsfnet,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,moving_average,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,1.2651512544067376,1.3892225419569049,0.9836147649999999,0.7085482911500001,1.3978414377777777,0.0,0.7416003075601767,0.25839969243982325,0.8448342646969805,0.15516573530301944,0.7359773604161144,0.846153847243966,,,,,,
24,nsfnet,topozoo/Nsfnet,11,1.0,ml_only,transformer:tuned_c,transformer,tuned_c,linear_autoregressive,Optimal,6,128,4,3,0.1,150,0.003,3,1,0,0.5,0.5,0.25,0.4425480428914438,0.5450751404370644,1.2326510784444444,0.8835612749981482,1.7416866810833331,0.0,0.7442965700705606,0.2557034299294393,0.8441111690709817,0.15588883092901828,0.7412517605419789,0.8461538472332942,,,,,,
