time_step,topology,topology_source,seed,load_scale,method,solver_status,prediction_mae,prediction_rmse,nominal_max_utilization,nominal_avg_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_served_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,robust_failure_scenarios
22,abilene,topozoo/Abilene,11,0.8,current_demand_lp,Optimal,0.41422492652561677,0.5310846973556627,0.6854719424000001,0.39009146050079363,1.4074730500000001,0.7188146453333334,0.671353669890345,0.328646330109655,0.8592385596149095,0.14076144038509056,0.6883735665434082,0.8725221879057954,,,,,,
22,abilene,topozoo/Abilene,11,0.8,robust_current_demand_lp,Optimal,0.41422492652561677,0.5310846973556627,0.685471944,0.3878167780896825,1.4074730500000001,0.7188146453333334,0.6699745360096784,0.3300254639903217,0.8607923109195267,0.13920768908047335,0.6941741830419312,0.8727050667485657,,,,0.68547194,1.8279252,Denver->Kansas City & Kansas City->Denver | Kansas City->Indianapolis & Indianapolis->Kansas City
22,abilene,topozoo/Abilene,11,0.8,moving_average,Optimal,0.40506060252610765,0.4989602356727609,0.6794835866666666,0.38609396174285715,1.3784834916666668,0.7022243215555556,0.6710322560508081,0.3289677439491919,0.8560049863534012,0.14399501364659878,0.6832118354527619,0.8677538441095862,,,,,,
22,abilene,topozoo/Abilene,11,0.8,linear_autoregressive,Optimal,0.5429583401372822,0.6459874748063423,0.6433352377777778,0.3635672913392857,1.3087219233333334,0.6664745544444445,0.6665966492934863,0.3334033507065137,0.8587131248944505,0.14128687510554946,0.6806125904832547,0.8659309588948363,,,,,,
22,abilene,topozoo/Abilene,11,0.8,lstm,Optimal,0.21774131439620986,0.2747977668922888,0.7589172022222223,0.4295538540805556,2.0237792022222223,0.7829703388888889,0.6767580490881279,0.32324195091187213,0.8426180864321103,0.15738191356788978,0.6909003636874339,0.8546632430358874,,,,,,
22,abilene,topozoo/Abilene,11,0.8,uncertainty_aware_lstm_robust_lp,Optimal,0.21774131439620986,0.2747977668922888,0.7987312511111112,0.44797274722222225,2.129949997777778,0.8242473655555557,0.6717049086993275,0.32829509130067247,0.8642279775030626,0.1357720224969374,0.6954356652842291,0.8727272736844586,0.5539571046829224,1.0859557390213013,1.0513678996429041,0.79873125,2.12995,Denver->Kansas City & Kansas City->Denver | Kansas City->Indianapolis & Indianapolis->Kansas City
23,abilene,topozoo/Abilene,11,0.8,current_demand_lp,Optimal,0.4118286216024046,0.5241623977461574,0.8126628893333334,0.4500297158380953,2.1671010399999995,0.8126628904000002,0.676033845979541,0.323966154020459,0.8960409607740352,0.10395903922596476,0.6932357607464646,0.8818181827593409,,,,,,
23,abilene,topozoo/Abilene,11,0.8,robust_current_demand_lp,Optimal,0.4118286216024046,0.5241623977461574,0.8126628904000002,0.4476967532563491,1.6227494733333334,0.8126628904000002,0.6666080749388517,0.33339192506114834,0.8894080244044392,0.11059197559556082,0.6818181840884933,0.8818181825442929,,,,0.81266289,2.167101,Denver->Kansas City & Kansas City->Denver
23,abilene,topozoo/Abilene,11,0.8,moving_average,Optimal,0.7044440528286808,0.8061439843640095,0.7045435911111112,0.39817745356428574,1.4282652133333331,0.7045435916666667,0.6689776525148297,0.3310223474851703,0.8922427197286138,0.10775728027138624,0.6834644975317364,0.8818181829267846,,,,,,
23,abilene,topozoo/Abilene,11,0.8,linear_autoregressive,Optimal,0.4627483456396242,0.5597198156548376,0.7927250577777779,0.4412035555166667,2.1139334799999996,0.7927250555555556,0.6756677149984257,0.3243322850015742,0.8904324292230623,0.10956757077693766,0.6908544190589957,0.8818181839932543,,,,,,
23,abilene,topozoo/Abilene,11,0.8,lstm,Optimal,0.5167033174126348,0.6059731299417287,0.7589171933333333,0.4295538490924603,2.02377918,0.7589171955555555,0.6767580535636389,0.32324194643636106,0.8917498185284195,0.1082501814715805,0.6909003635363891,0.8818181836388218,,,,,,
23,abilene,topozoo/Abilene,11,0.8,uncertainty_aware_lstm_robust_lp,Optimal,0.5167033174126348,0.6059731299417287,0.7987312444444444,0.4479727424722223,2.1299499777777777,0.7987312422222224,0.6717049099411755,0.32829509005882446,0.8853763885457325,0.11462361145426746,0.6954356650216759,0.8818181827292795,0.5539571046829224,1.0859557390213013,1.0513678886801132,0.79873124,2.12995,Denver->Kansas City & Kansas City->Denver | Kansas City->Indianapolis & Indianapolis->Kansas City
24,abilene,topozoo/Abilene,11,0.8,current_demand_lp,Optimal,0.4095162668418275,0.503520818612909,0.9042831813333333,0.509534085036373,1.8280047850000003,0.9042831799999999,0.6693326785267543,0.3306673214732457,0.8885576706497639,0.11144232935023608,0.6818330469016115,0.881818182243272,,,,,,
24,abilene,topozoo/Abilene,11,0.8,robust_current_demand_lp,Optimal,0.4095162668418275,0.503520818612909,0.9042831800000001,0.5065155299523809,2.4114218133333334,0.9042831799999999,0.6683194832640454,0.33168051673595456,0.8767482267236891,0.1232517732763109,0.6947721043973113,0.8727272732335254,,,,0.90428318,2.4114218,Denver->Kansas City & Kansas City->Denver | Kansas City->Indianapolis & Indianapolis->Kansas City
24,abilene,topozoo/Abilene,11,0.8,moving_average,Optimal,0.8574990994232398,0.9585594946326131,0.7668465913333333,0.43310975423690473,2.0449242444444446,0.7668465933333334,0.6757268396106116,0.32427316038938836,0.889246812028256,0.11075318797174406,0.690877544482316,0.8818181829662775,,,,,,
24,abilene,topozoo/Abilene,11,0.8,linear_autoregressive,Optimal,0.4844290214529375,0.5754968275943589,0.8747778404,0.49502312793341263,2.3327409000000006,0.8747778373333334,0.6783738453321517,0.32162615466784833,0.8841008159931727,0.11589918400682722,0.6909567944892289,0.8818181828482691,,,,,,
24,abilene,topozoo/Abilene,11,0.8,lstm,Optimal,0.8812602704425714,0.983455283538912,0.7589171955555555,0.4295538498710318,2.0237791866666663,0.7589171966666667,0.6767580521842006,0.3232419478157994,0.8856266170867149,0.11437338291328517,0.6909003633257942,0.8818181830962126,,,,,,
24,abilene,topozoo/Abilene,11,0.8,uncertainty_aware_lstm_robust_lp,Optimal,0.8812602704425714,0.983455283538912,0.7987312466666667,0.4479727432976191,2.129949988888889,0.7987312488888889,0.6717049088764244,0.3282950911235755,0.8740682797511408,0.12593172024885932,0.6954356651836747,0.8727272739550554,0.5539571046829224,1.0859557390213013,1.0513678908726714,0.79873125,2.12995,Denver->Kansas City & Kansas City->Denver | Kansas City->Indianapolis & Indianapolis->Kansas City
25,abilene,topozoo/Abilene,11,0.8,current_demand_lp,Optimal,0.328652994262052,0.415948052705427,1.0159017957777776,0.5700313126714286,2.0481677416666666,1.0159017968888886,0.6690917824442929,0.3309082175557072,0.8640633658109427,0.13593663418905735,0.6863165036213716,0.8836236355041677,,,,,,
25,abilene,topozoo/Abilene,11,0.8,robust_current_demand_lp,Optimal,0.328652994262052,0.415948052705427,1.0159017955555556,0.5669823163730159,2.709071453333333,1.0159017968888886,0.6692225998340768,0.33077740016592305,0.8682228043905549,0.13177719560944515,0.6954915450804157,0.8954903829298765,,,,1.0159018,2.7090715,Denver->Kansas City & Kansas City->Denver | Kansas City->Indianapolis & Indianapolis->Kansas City
25,abilene,topozoo/Abilene,11,0.8,moving_average,Optimal,0.8074810854133436,0.9123388005040144,0.8545799493333331,0.4796855214734127,1.7265987550000002,0.8545799488888889,0.6686996853992965,0.3313003146007036,0.8632381587578387,0.13676184124216126,0.6851782025574934,0.8825622265580302,,,,,,
25,abilene,topozoo/Abilene,11,0.8,linear_autoregressive,Optimal,0.4263198020791506,0.5111364941185577,0.9626762625333332,0.5428813987630953,1.9509808966666666,0.9626762626666667,0.6685190111915161,0.3314809888084838,0.8628046593007971,0.13719534069920286,0.6810259458666728,0.8814277053936436,,,,,,
25,abilene,topozoo/Abilene,11,0.8,lstm,Optimal,1.1312322022584578,1.246589320666133,0.7589172022222223,0.4295538530678572,2.0237792022222223,0.7589172022222223,0.6767580503142954,0.3232419496857047,0.8639629365531404,0.1360370634468596,0.6909003635242698,0.8818094274354082,,,,,,
25,abilene,topozoo/Abilene,11,0.8,uncertainty_aware_lstm_robust_lp,Optimal,1.1312322022584578,1.246589320666133,0.7987312511111112,0.4479727462341269,2.12995,0.7987312511111111,0.6717049089527364,0.3282950910472637,0.8703012249442491,0.1296987750557509,0.6954356650447463,0.8954345220432501,0.5539571046829224,1.0859557390213013,1.0513678967194933,0.79873125,2.12995,Denver->Kansas City & Kansas City->Denver | Kansas City->Indianapolis & Indianapolis->Kansas City
26,abilene,topozoo/Abilene,11,0.8,current_demand_lp,Optimal,0.3619062193751855,0.7809395151742808,1.081640908,0.6096951593464286,2.8843757511111106,1.753334006666667,0.673575600794059,0.32642439920594096,0.761802387553253,0.238197612446747,0.6906963006989083,0.7663279199276923,,,,,,
26,abilene,topozoo/Abilene,11,0.8,robust_current_demand_lp,Optimal,0.3619062193751855,0.7809395151742808,1.0816409080000002,0.6065293143611111,2.8843757511111106,1.753334006666667,0.6680902251293015,0.3319097748706985,0.7592295536645756,0.2407704463354245,0.6900428217956031,0.7636363651732464,,,,1.0816409,2.8843758,Denver->Kansas City & Kansas City->Denver
26,abilene,topozoo/Abilene,11,0.8,moving_average,Optimal,0.5847044385891612,0.9741856891319656,0.953622196,0.5353736001520634,2.54299252,1.5381179053333334,0.6748847183673157,0.3251152816326844,0.7610324085594197,0.23896759144058038,0.6912336530429265,0.7636161485076399,,,,,,
