method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,topology,load_scale,seed
linear_autoregressive,0.5496968421246018,0.7163257276719943,0.30346543306324786,0.5727493094584616,0.5148356485175825,0.7335789780523496,0.837290232747757,0.26642102194765044,0.16270976725224304,0.7599408332666275,0.8434095592503402,,,,,,sample,0.8,7
lstm,0.38334201400332546,0.5056754488177282,0.3164420572649573,0.6012399056030769,0.5568249905746521,0.7348744313939269,0.8381026374776922,0.265125568606073,0.1618973625223078,0.7575558689487748,0.8483841208754962,,,,,,sample,0.8,7
uncertainty_aware_lstm_robust_lp,0.38334201400332546,0.5056754488177282,0.3271272171233211,0.6215417095076923,0.575205428452503,0.7411939736468369,0.8365193975135197,0.2588060263531631,0.1634806024864803,0.7848026118166084,0.8486944474960558,0.30334728956222534,0.8261833190917969,1.0299529042698934,0.32712721615384616,0.621541706923077,sample,0.8,7
robust_current_demand_lp,0.3762092119496004,0.5500243526289516,0.32992797775824173,0.6268631551384616,0.5812232600534799,0.7395715083590223,0.8358579577591206,0.26042849164097764,0.16414204224087936,0.7748172231588377,0.8449514736677871,,,,0.3299279753846154,0.6268631538461539,sample,0.8,7
current_demand_lp,0.3762092119496004,0.5500243526289516,0.32992797807228325,0.6268631551384616,0.5812232600534799,0.7361402733491599,0.837649984399441,0.2638597266508401,0.1623500156005589,0.75745236045307,0.8468964552439537,,,,,,sample,0.8,7
moving_average,0.6406927900560405,0.7944016710042483,0.33561276272820517,0.6376642463384615,0.5953968665194139,0.7363181960393663,0.8387779791514485,0.2636818039606337,0.16122202084855147,0.7543108023142813,0.8471569762529317,,,,,,sample,0.8,7
lstm,0.3641178232960873,0.48998738113165463,0.3151461873199023,0.5987777538461538,0.5450692961868131,0.7241595135418178,0.8326114424481973,0.27584048645818215,0.16738855755180268,0.7762727622836659,0.8525409149595077,,,,,,sample,0.8,11
uncertainty_aware_lstm_robust_lp,0.3641178232960873,0.48998738113165463,0.3241961854065934,0.6159727495384615,0.5598823858937728,0.7249696776989272,0.8323624436167717,0.2750303223010729,0.16763755638322822,0.7725527280195703,0.8502501692371182,0.26690784096717834,0.6551886796951294,1.0257668096934687,0.3241961823076923,0.6159727484615385,sample,0.8,11
robust_current_demand_lp,0.3846038295138936,0.5648219362466915,0.3276834026119658,0.6221922240000001,0.5607031906769231,0.727286921157002,0.8377809138435703,0.272713078842998,0.1622190861564296,0.7651264191522971,0.8534002604202177,,,,0.32768339769230764,0.6221922223076923,sample,0.8,11
current_demand_lp,0.3846038295138936,0.5648219362466915,0.3276834028776557,0.6221922240000001,0.5607031906769231,0.725851331440456,0.8394658641271521,0.27414866855954395,0.16053413587284793,0.7676025146544814,0.8562892880745819,,,,,,sample,0.8,11
moving_average,0.6451561054891056,0.800326797448893,0.3301615118969475,0.6273068698461538,0.5782266066764347,0.7233813074114741,0.835016797059506,0.2766186925885259,0.16498320294049396,0.7674993266669639,0.851705771291276,,,,,,sample,0.8,11
linear_autoregressive,0.47225671108499145,0.6345753786251558,0.34293967267252745,0.6511539658153846,0.6135572391819292,0.7195953441312384,0.8295259127533574,0.28040465586876173,0.17047408724664267,0.7676277799616512,0.8455920240477792,,,,,,sample,0.8,11
lstm,0.7085363985042549,0.8708845185411044,0.37165807768703296,0.7061503454461538,0.6606722899355311,0.7350343039185316,0.8387189683350341,0.26496569608146847,0.16128103166496588,0.7559617844846349,0.848126113869764,,,,,,sample,1.0,7
linear_autoregressive,0.6403185256217238,0.8241517445168522,0.37792004140903546,0.714859627323077,0.6444940144791208,0.7328328180003503,0.8371597925420952,0.2671671819996497,0.16284020745790476,0.7592173514709051,0.84383166743899,,,,,,sample,1.0,7
uncertainty_aware_lstm_robust_lp,0.7085363985042549,0.8708845185411044,0.38845793402197804,0.738070072123077,0.6900230785682541,0.7426290370063715,0.8369005894629564,0.25737096299362844,0.1630994105370437,0.784949869966191,0.8476568102860207,0.5049170851707458,1.1676515340805054,1.041395764851977,0.38845793230769227,0.7380700715384615,sample,1.0,7
robust_current_demand_lp,0.4360877799487067,0.6414838053172621,0.412567450647033,0.7838781534984616,0.726211626054945,0.7393717893801539,0.8359487009838116,0.26062821061984603,0.16405129901618842,0.7752823625329358,0.8448312028556659,,,,0.4125674476923077,0.7838781569230769,sample,1.0,7
current_demand_lp,0.4360877799487067,0.6414838053172621,0.4125674507130647,0.7838781534984616,0.726211626054945,0.7359607760240306,0.8378226441401634,0.26403922397596935,0.16217735585983653,0.7572259268792014,0.8472289814935444,,,,,,sample,1.0,7
moving_average,0.790974102562675,0.9707541940406998,0.41970446493186814,0.7974384797846154,0.7444675057929182,0.7361423961732041,0.8388568365867067,0.263857603826796,0.1611431634132933,0.7547380498231901,0.8475915116573707,,,,,,sample,1.0,7
lstm,0.46776703744505915,0.6083043137747736,0.3882050086843956,0.737589512923077,0.6734120761074481,0.7246379599503261,0.8327818245570756,0.275362040049674,0.16721817544292447,0.7762599107794402,0.8528319960431254,,,,,,sample,1.0,11
uncertainty_aware_lstm_robust_lp,0.46776703744505915,0.6083043137747736,0.3994147291687424,0.7588879833846154,0.6922490010146519,0.7252184411738222,0.832830323925763,0.27478155882617783,0.16716967607423708,0.7722761764074237,0.8507688139370024,0.34022825956344604,0.8198422789573669,1.026345825477692,0.3994147269230769,0.7588879807692308,sample,1.0,11
current_demand_lp,0.44323971657440986,0.6519068767459617,0.4079898025714286,0.7750571310769231,0.6995494577008547,0.7242884668810465,0.8384761241505246,0.2757115331189534,0.16152387584947536,0.7670232740255358,0.8557341042186469,,,,,,sample,1.0,11
robust_current_demand_lp,0.44323971657440986,0.6519068767459617,0.4079898025836386,0.7750571310769231,0.6995494577008547,0.7258665524412012,0.8368875511581477,0.2741334475587988,0.1631124488418523,0.76319552676942,0.8524426556278121,,,,0.40798979999999996,0.7750571307692307,sample,1.0,11
moving_average,0.7971486600171859,0.975208466279008,0.4125097476307692,0.7837685169230769,0.7220444361465201,0.7234434213571365,0.8348362354446646,0.2765565786428636,0.1651637645553355,0.767709683807336,0.8516839062651536,,,,,,sample,1.0,11
linear_autoregressive,0.5418517791281541,0.7197896513019076,0.42842969705494505,0.8139198039384615,0.7654823684725275,0.7203532592420423,0.8297083637566767,0.2796467407579578,0.1702916362433233,0.7686699323741111,0.8464629967046453,,,,,,sample,1.0,11
linear_autoregressive,0.738057555450776,0.9387759636370928,0.4526816962905983,0.8568211112676922,0.7740440658333333,0.7324787306712045,0.8368941780420781,0.2675212693287955,0.16310582195792186,0.7585721884598068,0.8441595981192275,,,,,,sample,1.2,7
lstm,0.5386292898237282,0.6965577250642436,0.4768878329416361,0.9060868803692308,0.8416486336996337,0.7355267694390787,0.8383364864177533,0.26447323056092126,0.1616635135822468,0.7570335718685773,0.8477633885501195,,,,,,sample,1.2,7
uncertainty_aware_lstm_robust_lp,0.5386292898237282,0.6965577250642436,0.49142379545201464,0.9337052075692308,0.8664288131299146,0.7416458738583835,0.8367597571876519,0.25835412614161646,0.16324024281234806,0.7831572814233791,0.8469735036179974,0.3956942558288574,1.2126723527908325,1.0257485214564297,0.4914237930769231,0.93370521,sample,1.2,7
robust_current_demand_lp,0.5018958154219131,0.7371545327009051,0.49520692348766787,0.9408931520338462,0.8711999921675214,0.7390958332552915,0.8359326378944647,0.2609041667447085,0.16406736210553535,0.7755845112370298,0.8447665631604806,,,,0.4952069223076923,0.9408931461538461,sample,1.2,7
current_demand_lp,0.5018958154219131,0.7371545327009051,0.4952069236444444,0.9408931520338462,0.8711999921675214,0.7359323332133224,0.8379067373375515,0.26406766678667765,0.16209326266244845,0.7572868542065783,0.8474190434769386,,,,,,sample,1.2,7
