topology,method,prediction_rmse_mean,nominal_max_utilization_mean,critical_failure_reopt_max_utilization_mean,critical_failure_fixed_disrupted_fraction_mean,critical_failure_fixed_fairness_mean
abilene,Current-Demand LP,0.6094,1.0232,2.6083,0.3219,0.6891
abilene,Robust LP,0.6094,1.0232,2.6004,0.3254,0.6892
abilene,Uncertainty-Aware Robust LP,0.9886,0.9999,2.4269,0.3233,0.6927
abilene,Linear AR,0.5613,0.9949,2.5285,0.321,0.6893
abilene,Moving Average,0.9467,1.0425,2.6093,0.3216,0.6889
abilene,LSTM,0.9886,0.9519,2.3116,0.3202,0.6906
nsfnet,Current-Demand LP,0.5836,1.1255,1.5696,0.2521,0.7428
nsfnet,Robust LP,0.5836,1.1255,1.5696,0.2342,0.7584
nsfnet,Uncertainty-Aware Robust LP,0.9963,1.0976,1.5304,0.2351,0.7587
nsfnet,Linear AR,0.5403,1.1108,1.5442,0.2535,0.7423
nsfnet,Moving Average,0.9369,1.1443,1.5961,0.2528,0.7426
nsfnet,LSTM,0.9963,1.0465,1.4598,0.2543,0.74
sample,Current-Demand LP,0.6467,0.4103,0.7795,0.2699,0.7621
sample,Robust LP,0.6467,0.4103,0.7795,0.2674,0.7692
sample,Uncertainty-Aware Robust LP,0.7396,0.3939,0.7485,0.2661,0.7786
sample,Linear AR,0.772,0.4032,0.7644,0.2734,0.7639
sample,Moving Average,0.973,0.4161,0.7906,0.2702,0.7612
sample,LSTM,0.7396,0.3799,0.7219,0.2702,0.7661
