topology,load_scale,seed,output_subdir
sample,0.8,7,sample_load0p8_seed7
sample,0.8,11,sample_load0p8_seed11
sample,1.0,7,sample_load1p0_seed7
sample,1.0,11,sample_load1p0_seed11
sample,1.2,7,sample_load1p2_seed7
sample,1.2,11,sample_load1p2_seed11
abilene,0.8,7,abilene_load0p8_seed7
abilene,0.8,11,abilene_load0p8_seed11
abilene,1.0,7,abilene_load1p0_seed7
abilene,1.0,11,abilene_load1p0_seed11
abilene,1.2,7,abilene_load1p2_seed7
abilene,1.2,11,abilene_load1p2_seed11
nsfnet,0.8,7,nsfnet_load0p8_seed7
nsfnet,0.8,11,nsfnet_load0p8_seed11
nsfnet,1.0,7,nsfnet_load1p0_seed7
nsfnet,1.0,11,nsfnet_load1p0_seed11
nsfnet,1.2,7,nsfnet_load1p2_seed7
nsfnet,1.2,11,nsfnet_load1p2_seed11
