method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,topology,load_scale,seed
transformer,0.5253991146906792,0.6446835965735911,0.2729520006652991,0.5186087993969231,0.4874675713054945,0.7349485065567272,0.8373236991735591,0.2650514934432728,0.16267630082644088,0.7573765685499817,0.8494349306211094,,,,,,sample,0.8,7
linear_autoregressive,0.5496968421246018,0.7163257276719943,0.30346543306324786,0.5727493094584616,0.5148356485175825,0.7335789780523496,0.837290232747757,0.26642102194765044,0.16270976725224304,0.7599408332666275,0.8434095592503402,,,,,,sample,0.8,7
lstm,0.4188940118604728,0.5431577754484826,0.3064802139599512,0.5823124037630769,0.5420807590986081,0.7364391357419618,0.83835150422316,0.2635608642580382,0.16164849577684,0.7594155993286941,0.8482587980994034,,,,,,sample,0.8,7
uncertainty_aware_lstm_robust_lp,0.4188940118604728,0.5431577754484826,0.3163657442705739,0.6010949130153846,0.5587122275934067,0.742465782018853,0.8368627192667356,0.257534217981147,0.16313728073326444,0.7846186897506501,0.8480003844188772,0.2556779980659485,0.8097155690193176,1.0258263366642049,0.3163657430769231,0.6010949123076923,sample,0.8,7
robust_current_demand_lp,0.3762092119496004,0.5500243526289516,0.32992797775824173,0.6268631551384616,0.5812232600534799,0.7395715083590223,0.8358579577591206,0.26042849164097764,0.16414204224087936,0.7748172231588377,0.8449514736677871,,,,0.3299279753846154,0.6268631538461539,sample,0.8,7
current_demand_lp,0.3762092119496004,0.5500243526289516,0.32992797807228325,0.6268631551384616,0.5812232600534799,0.7361402733491599,0.837649984399441,0.2638597266508401,0.1623500156005589,0.75745236045307,0.8468964552439537,,,,,,sample,0.8,7
moving_average,0.7773731425387028,0.9335014680379038,0.3430530980632967,0.6518008823384616,0.6168066231948719,0.735486981355346,0.8383854742655134,0.26451301864465393,0.16161452573448665,0.7548235162913,0.8471253194434184,,,,,,sample,0.8,7
transformer,0.4490671975597435,0.5664461245271564,0.2846991499672772,0.5409283821538462,0.5069011767789988,0.7201633505838105,0.8294418383047067,0.2798366494161894,0.17055816169529317,0.7634942009335893,0.8483292457866137,,,,,,sample,0.8,11
lstm,0.38010285776961356,0.49949439206874147,0.31110782171428575,0.5911048578461539,0.5390131064932845,0.7229476905145389,0.8325538203320929,0.27705230948546106,0.16744617966790706,0.7739553072114395,0.8531877007996409,,,,,,sample,0.8,11
uncertainty_aware_lstm_robust_lp,0.38010285776961356,0.49949439206874147,0.3198511335692308,0.6077171504615385,0.5528886164285715,0.724286428711011,0.8326440649963295,0.27571357128898893,0.1673559350036706,0.7675111477824098,0.8505326263296935,0.24109520018100739,0.6699938774108887,1.0233279769789394,0.3198511307692308,0.6077171492307692,sample,0.8,11
