time_step,topology,topology_source,seed,load_scale,method,solver_status,prediction_mae,prediction_rmse,nominal_max_utilization,nominal_avg_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_served_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,robust_failure_scenarios
22,nsfnet,topozoo/Nsfnet,7,0.8,current_demand_lp,Optimal,0.4298825003697393,0.5324406922450012,0.7819485846666666,0.5588229180462962,1.0727284833333333,0.0,0.7502180560204197,0.24978194397958034,0.8347235793225493,0.16527642067745069,0.7423240025125174,0.8461538474264689,,,,,,
22,nsfnet,topozoo/Nsfnet,7,0.8,robust_current_demand_lp,Optimal,0.4298825003697393,0.5324406922450012,0.7819485855555556,0.5582151509703703,1.0727284833333333,0.0,0.7670140469514057,0.23298595304859426,0.8347235793225493,0.16527642067745069,0.7570080844592765,0.8461538474264689,,,,0.78194858,1.4830809,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign"
22,nsfnet,topozoo/Nsfnet,7,0.8,moving_average,Optimal,0.22466998700316873,0.2916918060258739,0.8677321783333333,0.6183410350873629,1.1866009953333334,0.0,0.7504816815132096,0.24951831848679043,0.8377878103986944,0.16221218960130554,0.7451768064964422,0.846153847297335,,,,,,
22,nsfnet,topozoo/Nsfnet,7,0.8,linear_autoregressive,Optimal,0.5627021942336486,0.6461455580693889,0.7374065150000001,0.5254302350005926,1.0048174616666667,0.0,0.7516690523594273,0.2483309476405727,0.8373438057254787,0.16265619427452133,0.7464233744728008,0.8461538477235298,,,,,,
22,nsfnet,topozoo/Nsfnet,7,0.8,lstm,Optimal,0.3479802787417343,0.4260977480963979,0.8045769402222221,0.5754615319874073,1.1054490603333336,0.0,0.7507350242355394,0.24926497576446066,0.8386919685979279,0.1613080314020721,0.7457135266378444,0.8461538481181795,,,,,,
22,nsfnet,topozoo/Nsfnet,7,0.8,uncertainty_aware_lstm_robust_lp,Optimal,0.3479802787417343,0.4260977480963979,0.8432363033333333,0.6020712111044446,1.1581884111111111,0.0,0.7609141987752108,0.2390858012247892,0.8385381636938896,0.16146183630611047,0.7547168655039913,0.8461538476186028,0.5155062675476074,0.8854181170463562,1.0477646713085977,0.8432363,1.5675794,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign"
22,nsfnet,topozoo/Nsfnet,7,0.8,transformer,Optimal,0.4990378873606399,0.5919223713555231,0.7531328578333335,0.5382497299692592,1.0375918666666666,0.0,0.7496172464753154,0.2503827535246847,0.8395955523848105,0.1604044476151895,0.7448473587178102,0.846153847225314,,,,,,
23,nsfnet,topozoo/Nsfnet,7,0.8,current_demand_lp,Optimal,0.4186353294940183,0.520475040061569,0.9074262339999998,0.6427494145329481,1.2421609806666665,1.3068435906666669,0.7450456475671999,0.2549543524328,0.832317028223465,0.16768297177653507,0.7368064265601239,0.8204343216383084,,,,,,
23,nsfnet,topozoo/Nsfnet,7,0.8,robust_current_demand_lp,Optimal,0.4186353294940183,0.520475040061569,0.9074262317777778,0.642274898801111,1.2421609806666665,1.3068435906666669,0.7574817340534846,0.24251826594651538,0.8428166303386864,0.15718336966131358,0.7505373847033435,0.836782799403592,,,,0.90742623,1.6717952,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign"
23,nsfnet,topozoo/Nsfnet,7,0.8,moving_average,Optimal,0.527351094634982,0.6023219133929087,0.8595810100000001,0.6104169982991111,1.1714870035000002,1.2264776826666666,0.7501605824022404,0.2498394175977596,0.8279545191998071,0.17204548080019283,0.7454219681803462,0.8161980166567592,,,,,,
23,nsfnet,topozoo/Nsfnet,7,0.8,linear_autoregressive,Optimal,0.49759354173290854,0.578609531388236,0.8710045583333332,0.6172532018722221,1.187254751111111,1.23893076,0.7496054896325732,0.25039451036742677,0.8285404626162285,0.17145953738377143,0.7481655121651702,0.8161761227837296,,,,,,
23,nsfnet,topozoo/Nsfnet,7,0.8,lstm,Optimal,0.6938259508182836,0.7713178729129964,0.8045769402222221,0.5754615319874073,1.1054490603333336,1.1609821479999998,0.7507350242355394,0.24926497576446066,0.8264864577895014,0.17351354221049856,0.7457135266378444,0.8141025661906977,,,,,,
23,nsfnet,topozoo/Nsfnet,7,0.8,uncertainty_aware_lstm_robust_lp,Optimal,0.6938259508182836,0.7713178729129964,0.8432363033333333,0.6020712111044446,1.1581884111111111,1.2150037533333333,0.7609141987752108,0.2390858012247892,0.8421943294285361,0.15780567057146377,0.7547168655039913,0.8338416150352546,0.5155062675476074,0.8854181170463562,1.0477646713085977,0.8432363,1.5675794,"NCAR, Boulder->NCSA, University of Illinois, Champaign & NCSA, University of Illinois, Champaign->NCAR, Boulder | NCSA, University of Illinois, Champaign->Merit Univ of Michigan, Ann Arbor & Merit Univ of Michigan, Ann Arbor->NCSA, University of Illinois, Champaign"
23,nsfnet,topozoo/Nsfnet,7,0.8,transformer,Optimal,0.6719974905481525,0.7538847892583447,0.8117688513333333,0.5802636178651853,1.1199746421666665,1.175503549333333,0.7497522225206236,0.25024777747937643,0.826575734244227,0.17342426575577294,0.7451077615650115,0.8151408142290657,,,,,,
