time_step,topology,seed,load_scale,method,scenario,failed_link,commodity_rank,source,destination,path_rank,path_flow,path_nodes,path_edges,contains_failed_link
22,sample_backbone,7,1.2,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,1,2,5,1,4.8007041,2 | 3 | 5,2->3 | 3->5,1
22,sample_backbone,7,1.2,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,2,3,0,1,0.068463565,3 | 1 | 0,3->1 | 1->0,0
22,sample_backbone,7,1.2,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,2,3,0,2,4.4802394,3 | 2 | 0,3->2 | 2->0,1
22,sample_backbone,7,1.2,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,3,2,3,1,4.4682268,2 | 3,2->3,1
22,sample_backbone,7,1.2,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,4,5,0,1,4.1188451,5 | 3 | 2 | 0,5->3 | 3->2 | 2->0,1
22,sample_backbone,7,1.2,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,5,3,2,1,3.4204814,3 | 2,3->2,1
22,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,3 -> 4 & 4 -> 3,1,4,3,1,6.0295335,4 | 3,4->3,1
22,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,3 -> 4 & 4 -> 3,2,3,4,1,4.4100377,3 | 4,3->4,1
22,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,3 -> 4 & 4 -> 3,3,0,5,1,2.7387078,0 | 1 | 3 | 5,0->1 | 1->3 | 3->5,0
22,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,3 -> 4 & 4 -> 3,3,0,5,2,0.24276920000000013,0 | 2 | 3 | 5,0->2 | 2->3 | 3->5,0
22,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,3 -> 4 & 4 -> 3,3,0,5,3,2.7337876999999997,0 | 2 | 3 | 4 | 5,0->2 | 2->3 | 3->4 | 4->5,1
22,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,3 -> 4 & 4 -> 3,4,2,4,1,3.3110937,2 | 4,2->4,0
22,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,3 -> 4 & 4 -> 3,4,2,4,2,2.5762007,2 | 3 | 4,2->3 | 3->4,1
22,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,3 -> 4 & 4 -> 3,5,4,1,1,3.5514884,4 | 2 | 1,4->2 | 2->1,0
22,sample_backbone,7,1.2,current_demand_lp,random_failure_fixed,3 -> 4 & 4 -> 3,5,4,1,2,0.45612106,4 | 3 | 1,4->3 | 3->1,1
22,sample_backbone,7,1.2,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,1,0,5,1,5.7152647,0 | 2 | 3 | 5,0->2 | 2->3 | 3->5,1
22,sample_backbone,7,1.2,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,4,1,0.57730596,2 | 4,2->4,0
22,sample_backbone,7,1.2,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,4,2,5.3099884,2 | 3 | 4,2->3 | 3->4,1
22,sample_backbone,7,1.2,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,3,2,3,1,4.4682268,2 | 3,2->3,1
22,sample_backbone,7,1.2,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,4,3,0,1,0.27486782,3 | 1 | 0,3->1 | 1->0,0
22,sample_backbone,7,1.2,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,4,3,0,2,4.2738351,3 | 2 | 0,3->2 | 2->0,1
22,sample_backbone,7,1.2,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,5,5,0,1,4.1188451,5 | 3 | 2 | 0,5->3 | 3->2 | 2->0,1
22,sample_backbone,7,1.2,robust_current_demand_lp,random_failure_fixed,3 -> 4 & 4 -> 3,1,4,3,1,6.0295335,4 | 3,4->3,1
22,sample_backbone,7,1.2,robust_current_demand_lp,random_failure_fixed,3 -> 4 & 4 -> 3,2,2,4,1,0.57730596,2 | 4,2->4,0
22,sample_backbone,7,1.2,robust_current_demand_lp,random_failure_fixed,3 -> 4 & 4 -> 3,2,2,4,2,5.3099884,2 | 3 | 4,2->3 | 3->4,1
22,sample_backbone,7,1.2,robust_current_demand_lp,random_failure_fixed,3 -> 4 & 4 -> 3,3,3,4,1,4.4100377,3 | 4,3->4,1
22,sample_backbone,7,1.2,robust_current_demand_lp,random_failure_fixed,3 -> 4 & 4 -> 3,4,4,0,1,2.0700246,4 | 2 | 0,4->2 | 2->0,0
22,sample_backbone,7,1.2,robust_current_demand_lp,random_failure_fixed,3 -> 4 & 4 -> 3,4,4,0,2,0.456121,4 | 3 | 2 | 0,4->3 | 3->2 | 2->0,1
22,sample_backbone,7,1.2,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,1,2,5,1,6.4235053,2 | 3 | 5,2->3 | 3->5,1
22,sample_backbone,7,1.2,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,2,3,0,1,0.095752688,3 | 1 | 0,3->1 | 1->0,0
22,sample_backbone,7,1.2,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,2,3,0,2,5.0413932,3 | 2 | 0,3->2 | 2->0,1
22,sample_backbone,7,1.2,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,3,2,3,1,4.9985585,2 | 3,2->3,1
22,sample_backbone,7,1.2,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,4,5,0,1,4.5940774,5 | 3 | 2 | 0,5->3 | 3->2 | 2->0,1
22,sample_backbone,7,1.2,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,5,0,3,1,4.1432963,0 | 2 | 3,0->2 | 2->3,1
22,sample_backbone,7,1.2,moving_average,random_failure_fixed,3 -> 4 & 4 -> 3,1,4,3,1,6.1624287,4 | 3,4->3,1
22,sample_backbone,7,1.2,moving_average,random_failure_fixed,3 -> 4 & 4 -> 3,2,3,4,1,5.0898859,3 | 4,3->4,1
22,sample_backbone,7,1.2,moving_average,random_failure_fixed,3 -> 4 & 4 -> 3,3,0,5,1,3.1142679,0 | 1 | 3 | 5,0->1 | 1->3 | 3->5,0
22,sample_backbone,7,1.2,moving_average,random_failure_fixed,3 -> 4 & 4 -> 3,3,0,5,2,0.08913859999999962,0 | 2 | 3 | 5,0->2 | 2->3 | 3->5,0
22,sample_backbone,7,1.2,moving_average,random_failure_fixed,3 -> 4 & 4 -> 3,3,0,5,3,2.8091233000000004,0 | 2 | 3 | 4 | 5,0->2 | 2->3 | 3->4 | 4->5,1
22,sample_backbone,7,1.2,moving_average,random_failure_fixed,3 -> 4 & 4 -> 3,4,2,4,1,4.0324588,2 | 4,2->4,0
22,sample_backbone,7,1.2,moving_average,random_failure_fixed,3 -> 4 & 4 -> 3,4,2,4,2,2.5775692,2 | 3 | 4,2->3 | 3->4,1
22,sample_backbone,7,1.2,moving_average,random_failure_fixed,3 -> 4 & 4 -> 3,5,4,1,1,3.3998781,4 | 2 | 1,4->2 | 2->1,0
22,sample_backbone,7,1.2,moving_average,random_failure_fixed,3 -> 4 & 4 -> 3,5,4,1,2,1.3520477,4 | 3 | 1,4->3 | 3->1,1
22,sample_backbone,7,1.2,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,1,2,5,1,7.1934486,2 | 3 | 5,2->3 | 3->5,1
22,sample_backbone,7,1.2,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,2,0,3,1,5.5427404,0 | 2 | 3,0->2 | 2->3,1
22,sample_backbone,7,1.2,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,3,2,3,1,3.6972951,2 | 3,2->3,1
22,sample_backbone,7,1.2,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,4,3,0,1,0.23403735,3 | 1 | 0,3->1 | 1->0,0
22,sample_backbone,7,1.2,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,4,3,0,2,3.462879,3 | 2 | 0,3->2 | 2->0,1
22,sample_backbone,7,1.2,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,5,5,0,1,3.3396811,5 | 3 | 2 | 0,5->3 | 3->2 | 2->0,1
22,sample_backbone,7,1.2,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,1,4,3,1,4.1747219,4 | 3,4->3,1
22,sample_backbone,7,1.2,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,2,3,4,1,3.4863923,3 | 4,3->4,1
22,sample_backbone,7,1.2,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,3,4,1,1,3.3704313,4 | 3 | 1,4->3 | 3->1,1
22,sample_backbone,7,1.2,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,4,1,4,1,2.4702789,1 | 2 | 4,1->2 | 2->4,0
22,sample_backbone,7,1.2,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,4,1,4,2,2.9556499,1 | 3 | 4,1->3 | 3->4,1
22,sample_backbone,7,1.2,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,5,0,5,1,1.6312238,0 | 1 | 3 | 5,0->1 | 1->3 | 3->5,0
22,sample_backbone,7,1.2,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,5,0,5,2,1.4750652,0 | 2 | 3 | 5,0->2 | 2->3 | 3->5,0
22,sample_backbone,7,1.2,linear_autoregressive,random_failure_fixed,3 -> 4 & 4 -> 3,5,0,5,3,0.99798789,0 | 2 | 3 | 4 | 5,0->2 | 2->3 | 3->4 | 4->5,1
22,sample_backbone,7,1.2,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,1,2,5,1,6.0198874,2 | 3 | 5,2->3 | 3->5,1
22,sample_backbone,7,1.2,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,3,1,4.666316,2 | 3,2->3,1
